Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
9000-39491*,06/29/07,HOLZ,BTLH,F,AHY,2007,"7/24, 3.7g LTW","8/1, 3.9g","8/8, n.w., at GNMTN","8/8, 3.8g at HOLZ",,,,,,,,,,,,,,*New: E40106
9000-39493,06/29/07,HOLZ,BTLH,F,AHY,2007,"8/1, 4.3g M-HTW",," 8/14, 4.0g HTW",,,,,,,,,,,,,,,
9000-39494,06/29/07,HOLZ,BTLH,F,AHY,2007,"7/17, 3.5g NTW",,,,,,,,,,,,,,,,,
9000-39500,06/29/07,GNMTN,BTLH,F,AHY,2007,"7/6, 3.3g","8/8, 3.2g VLTW",,,,,,,,,,,,,,,,
9000-39504,06/30/07,MCGC,BTLH,F,AHY,2007,"7/1, n.w.","7/2, 3.9g","7/10, 3.2g at WC1",,,,,,,,,,,,,,,
9000-39506,06/30/07,MCGC,BTLH,F,AHY,2007,"7/1, 3.5g","7/2, 3.7g ",,,,,,,,,,,,,,,,
9000-39508,06/30/07,MCGC,BTLH,F,AHY,2007,"7/17, 4.1g VLTW",,,,,,,,,,,,,,,,,
9000-39509,06/30/07,MCGC,BTLH,F,AHY,2007,"7/2, 3.4g LTW","7/9, 3.5g","7/14, 3.4g at WC1","7/18, 4.0g","7/20, n.w.","7/27, 4.1g M-HTW",,,,,,,,,,,,
9000-39511,07/01/07,MCGC,BTLH,F,AHY,2007,"7/10, 3.3g",,,,,,,,,,,,,,,,,
9000-39512,07/01/07,MCGC,BTLH,F,AHY,2007,"7/2, 3.7g","7/10, 3.3g",,,,,,,,,,,,,,,,
9000-39513,07/01/07,MCGC,BTLH,F,AHY,2007,"7/17, 3.5g",,,,,,,,,,,,,,,,,
