Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length ,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
4000-47664,8/17/2003,1801,MP1,TE,BTLH,F,AHY,3.7,49.8,19.3,30,5,,,L,,
4000-47665,8/17/2003,1813,MP1,TE,RUHU,M,HY,3.7,41.3,17,26,3,,2 C,,,
4000-47666,8/17/2003,1815,MP1,TE,BTLH,F,AHY,4.5,49.6,,,,L,,,,
4000-47667,8/17/2003,1830,MP1,FE,BTLH,F,AHY,4.5,49.2,18.2,30,5,H,,,,
4000-47668,8/17/2003,1835,MP1,FE,BTLH,M,HY,3.8,48.2,18.1,29,6,,many C,H,0%,"HY r1-5, unusual bill "
4000-47669,8/17/2003,1835,MP1,TE,BTLH,F,HY,3.6,50,17.5,29,5,,,L,40%,
4000-47670,8/18/2003,901,MCGC,FE,BTLH,F,AHY,3.4,50.5,19.2,29.5,5.5,"M, r4-5",,L,,
4000-47671,8/18/2003,923,MCGC,FE,BTLH,F,HY,4.1,50.2,18.5,29,5.2,,,H,90%,pollen on top of bill
4000-47672,8/18/2003,915,MCGC,TE,RUHU,M,HY,4,40.5,17,26.5,3,,"2 C, 1 R",M,70%,"lg gorget feather, rt.side"
4000-47673,8/18/2003,935,MCGC,TE,BTLH,M,HY,3.3,48.2,17,29,6,,,L,70%,
4000-47674,8/18/2003,950,MCGC,TE,BTLH,M,HY,3.7,48.4,17.5,30,5,,,L,80%,
4000-47675,8/18/2003,1000,MCGC,TE,BTLH,M,HY,3.6,49.4,16.1,29.5,6,,,L,90%,
4000-47676,8/18/2003,1001,MCGC,FE,BTLH,F,AHY,3.7,49.2,18,28,5,,,L,,ru on r3-5 feather shafts only
4000-47677,8/18/2003,1036,MCGC,FE,BTLH,M,HY,3.7,47.9,16.8,29,5.5,,,H,80%,pollen on top of bill
4000-47678,8/18/2003,1617,MP1,TE,BTLH,F,AHY,3.1,51.5,16.5,30,5,M,,,,
4000-47679,8/18/2003,1626,MP1,TE,BTLH,F,AHY,3.4,49.8,16.4,29.5,5,H,,,,old injury to rt wing-p9 misshaped
4000-47680,8/18/2003,1635,MP1,TE,BTLH,M,HY,3.7,49.7,18.4,31,6,,,L,80%,
4000-47681,8/18/2003,1648,MP1,TE,BTLH,F,AHY,3.6,49.3,17.9,28,5,M,,,,
4000-47682,8/18/2003,1641,MP1,TE,RUHU,F,HY,3.9,46.4,17.5,26,4,,,,,
4000-47683,8/18/2003,1714,MP1,TE,BTLH,M,AHY,4,49.1,18.1,32,5,,,,,
4000-47684,8/18/2003,1708,MP1,TE,BTLH,F,AHY,3.4,52.2,18,31,5.5,,,,,
4000-47685,8/18/2003,1720,MP1,TE,BTLH,F,AHY,3.5,48.9,17.7,32,6,H,,,,
4000-47686,8/18/2003,1727,MP1,TE,BTLH,F,AHY,3.9,50.1,18.1,30.5,5,,,,,
4000-47687,8/18/2003,1730,MP1,FE,BTLH,F,AHY,3.9,50.9,19.1,28.3,5.5,"M, r3-4",,,,1 white rump feather
4000-47688,8/18/2003,1735,MP1,FE,BTLH,F,AHY,4.4,49.7,18.5,28,5.9,,,,,
4000-47689,8/18/2003,1744,MP1,FE,BTLH,F,AHY,3.8,50.5,19.1,29.5,6,"H, r3-4",2 C,,,
4000-47690,8/18/2003,1750,MP1,FE,BTLH,M,HY,3.7,49.9,17,28.5,5.5,,,H,50%,
4000-47691,8/18/2003,1800,MP1,FE,BTLH,F,AHY,3.6,50.2,18.1,29.5,5.8,"H, r3&5",,,,rt r4 still in pin stage
4000-47692,8/18/2003,1803,MP1,FE,BTLH,F,AHY,3.8,50.6,18.5,29,5.2,,,,,
4000-47693,8/18/2003,1805,MP1,FE,BTLH,M,HY,4.7,52.7,20.8,30.1,5.8,,,M,50%,
4000-47694,8/18/2003,1827,MP1,FE,BTLH,F,AHY,3.7,50.1,20,31,5.8,,,,,
4000-47695,8/18/2003,1840,MP1,FE,BTLH,F,AHY,4.7,50.3,19,30,6,,,,,
4000-47696,8/18/2003,1849,MP1,FE,BTLH,F,AHY,3.8,50.2,19.1,29.8,5,,,,,
4000-47699,8/22/2003,900,MCGC,FE,BTLH,M,HY,3.7,48,17.2,27,5.8,,,H,90%,pointed rectrices
