Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-29621,7/14/04,1459,MCGC,FCE,BTLH,M,AHY,3.6,48.7,17.5,29.7,4.5,N,,,,
5000-29622,7/14/04,1733,MCGC,FCE,BTLH,F,AHY,3.5,50.3,19,30.6,5.5,H,,,,"r3-5 hvy, r1 v hvy wear"
5000-29623,7/14/04,1732,MCGC,FCE,RUHU,F,AHY,3.4,44.1,16.8,27.2,3.5,L,many C,,,r3l lt wear 
5000-29624,7/14/04,1740,MCGC,TBE,BTLH,F,AHY,3.6,49.6,17.9,29,5,N,,,,E7
5000-29625,7/14/04,1745,MCGC,FCE,BTLH,F,AHY,3.3,51.8,19,31,5.5,N,,,,
5000-29626,7/14/04,1810,MCGC,TBE,BTLH,F,AHY,3.9,51,19,29,5,N,,,,
5000-29627,7/14/04,1750,MCGC,TBE,RUHU,F,AHY,3.6,43,18,27,3.5,N,many C,,,
5000-29628,7/14/04,1815,MCGC,FCE,BTLH,M,AHY,3.8,50.1,18,28.2,4.5,N,,,,
5000-29629,7/14/04,1822,MCGC,TBE,BTLH,F,AHY,4.1,50.1,19,30,6,N,,,,
5000-29630,7/14/04,1825,MCGC,FCE,BTLH,F,AHY,3.6,51.1,19.6,30,5.5,N,,,,
5000-29631,7/14/04,1830,MCGC,TBE,BTLH,F,AHY,3.7,49.1,18.5,30,5.5,N,,,,
5000-29632,7/14/04,1837,MCGC,TBE,BTLH,F,AHY,4.3,48.3,17.3,30.5,6,N,,,,
5000-29633,7/14/04,1853,MCGC,TBE,BTLH,F,AHY,4.3,49.5,19,30,6,N,,H,,E9
5000-29634,7/14/04,1957,MCGC,TBE,BTLH,F,AHY,3.6,49.6,18.5,31,,N,,,,
5000-29635,7/15/04,0856,MCGC,TBE,BTLH,M,AHY,3.5,48.2,18,29,4.5,N,,,,
5000-29636,7/15/04,0914,MCGC,TBE,BTLH,F,AHY,3.2,50.8,18,30,5,N,,,,
5000-29637,7/15/04,0920,MCGC,TBE,BTLH,M,AHY,3.4,48.4,18,31,5,N,,,,
5000-29638,7/15/04,0930,MCGC,TBE,BTLH,F,AHY,3.8,49.9,19,30.5,6,N,,,,
5000-29639,7/15/04,0938,MCGC,TBE,RUHU,M,AHY,3.4,37.7,16,25,3,N,,,,
5000-29640,7/15/04,1003,MCGC,TBE,BTLH,M,AHY,3.3,50.1,17,29,5.5,N,,,,
5000-29641,7/15/04,1950,MCGC,FCE,BTLH,F,AHY,3.4,49.9,18,29.8,5.5,M,,,,r3-4 mod wear
5000-29642,7/15/04,1959,MCGC,TBE,BTLH,F,AHY,3.5,50.9,18,28,6,H,,,,
5000-29643,7/15/04,2002,MCGC,FCE,BTLH,F,AHY,3.9,49.9,18.5,30.2,6,M-H,,,,"r4-5 mod, r1 hvy wear"
5000-29644,7/15/04,2010,MCGC,TBE,BTLH,F,AHY,4.6,51,,30,5,H,,,,
5000-29645,7/16/04,0729,MCGC,FCE,BTLH,M,AHY,3.8,48,17,31.2,5,N,,,,
5000-29646,7/16/04,0738,MCGC,FCE,RUHU,M,AHY,3.5,41.2,16,25.8,2.3,N,,,,
5000-29647,7/16/04,0801,MCGC,FCE,BTLH,M,AHY,3.5,48.6,17,31,5.3,N,,,,
