Band Number, Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r1 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
4100-59208,06/22/2011,10:43,HOLZ,FCE,BTLH,M,AHY,3.12,50.1,17.5,31.5,,,,,,
4100-59209,06/22/2011,11:05,HOLZ,FCE,BTLH,M,AHY,3.1,49.0,17.1,31.0,,,,,,
4100-59210,06/22/2011,11:25,HOLZ,FCE,BTLH,M,AHY,3.29,49.8,16.8,31.0,,,,,,
4100-59211,06/22/2011,11:37,HOLZ,FCE,BTLH,M,AHY,3.36,48.5,17.4,33.1,,,,,,
4100-59212,06/22/2011,13:32,GNMTN,FCE,BTLH,M,AHY,3.1,49.4,18.5,30.6,,,,,,
4100-59213,06/22/2011,16:55,KV1,FCE,BTLH,M,AHY,3.25,51.1,17.8,29.2,,,,,,
4100-59214,06/23/2011,16:50,MP1,FCE,BTLH,M,AHY,2.81,47.9,18.0,30.5,,,,,,
4100-59215,06/23/2011,16:51,MP1,FCE,BTLH,M,AHY,3.26,49.9,17.2,31.8,,,,,,
4100-59216,06/24/2011,7:18,MCGC,FCE,BTLH,M,AHY,3.5,50.0,17.2,29.5,,,,,,
4100-59217,06/24/2011,10:22,CC3,FCE,BTLH,M,AHY,3,,17.0,31.1,,,,,,
4100-59218,06/24/2011,10:31,CC3,FCE,BTLH,M,AHY,3.2,50.3,17.5,31.2,,,,,,
4100-59219,06/24/2011,11:12,CC3,FCE,BTLH,M,AHY,3.4,49.1,17.5,30.5,,,,,,
4100-59220,06/24/2011,17:54,HPK2,FCE,BTLH,M,AHY,3.2,49.0,17.2,30.2,,,,,,
4100-59221,06/24/2011,18:07,HPK2,FCE,BTLH,M,AHY,3.1,49.6,17.9,31.5,,,,,,
4100-59222,06/25/2011,9:05,MP1,FCE,BTLH,M,AHY,3.75,49.0,18.1,30.1,,,,,,
4100-59223,06/25/2011,10:15,MP1,FCE,BTLH,M,AHY,3.25,49.3,18.8,32.0,,,,,,
4100-59224,06/25/2011,11:00,MP1,FCE,BTLH,M,AHY,3.49,49.4,17.2,30.5,,,,,,
4100-59225,06/26/2011,6:13,MCGC,FCE,BTLH,M,AHY,3.1,48.9,17.1,30.0,,,,,,
4100-59226,06/26/2011,11:12,GNMTN,FCE,BTLH,M,AHY,3.3,49.5,17.8,29.6,,,,,,
4100-59227,06/26/2011,11:46,GNMTN,FCE,BTLH,M,AHY,3.25,50.6,,32.0,,,,,,
4100-59228,06/26/2011,12:10,GNMTN,FCE,BTLH,M,AHY,,50.3,18.1,32.0,,,,,,
4100-59229,06/26/2011,12:20,GNMTN,FCE,BTLH,M,AHY,3.24,48.3,17.9,29.0,,,,,,
4100-59230,06/26/2011,15:22,KV1,FCE,BTLH,M,AHY,3.1,48.2,17.0,31.2,,,,,,
4100-59231,06/12/2011,12:07,HPK2,FCE,BTLH,M,AHY,3.3,49.3,18.3,30.7,,,,,,
4100-59232,06/12/2011,12:08,HPK2,FCE,BTLH,M,AHY,3.1,49.3,18.8,31.6,,,,,,
4100-59233,06/12/2011,13:30,HPK2,FCE,BTLH,M,AHY,3,50.0,18.3,30.3,,,,,,
4100-59234,06/12/2011,13:37,HPK2,FCE,BTLH,M,AHY,,50.2,17.7,30.8,,,,,,
4100-59235,06/13/2011,6:26,MCGC,FCE,BTLH,M,AHY,3,49.2,17.2,30.0,,,,,,
4100-59236,06/13/2011,7:05,MCGC,FCE,BTLH,M,AHY,3,48.6,16.8,32.1,,,,,,
4100-59237,06/13/2011,7:28,MCGC,FCE,BTLH,M,AHY,3.4,50.6,17.2,32.2,,,,,,
