Band Number,Date,Time,Site,Bander,Species,Age,Sex,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
9100-23604,7/11/2012,17:45,MCGC,FCE,RUHU,AHY,F,3.7,43.7,17.8,27.3,,,,,,
9100-23605,7/11/2012,17:45,MCGC,TBE,RUHU,AHY,F,3.7,43.3,16.3,27,,,,,,
9100-23606,7/11/2012,17:45,MCGC,FCE,RUHU,AHY,F,4.2,44.4,17.8,27,,,,,,
9100-23607,7/12/2012,10:35,HPK2,FCE,BTLH,HY,M,3.6,47.4,15,25,,,,,,
9100-23608,7/12/2012,11:09,HPK2,FCE,BTLH,AHY,M,3.5,50.5,18.5,30.8,,,,,,
9100-23609,7/12/2012,11:30,HPK2,FCE,BTLH,AHY,M,3.3,50.1,18.1,31.5,,,,,,
9100-23610,7/12/2012,11:51,HPK2,FCE,BTLH,AHY,M,3.2,49.6,17.8,31.5,,,,,,
9100-23611,7/12/2012,12:05,HPK2,FCE,BTLH,AHY,M,3.2,49.4,18,32,,,,,,
9100-23612,7/12/2012,12:56,HPK2,FCE,BTLH,AHY,M,3.5,49.8,18,30.4,,,,,,
9100-23613,7/12/2012,19:40,MCGC,FCE,RUHU,AHY,F,3.9,44,17.2,27.4,,,,,,
9100-23614,7/12/2012,19:40,MCGC,FCE,RUHU,AHY,F,3.8,42.7,18.1,26.3,,,,,,
9100-23615,7/12/2012,20:20,MCGC,FCE,RUHU,AHY,F,4.3,43.2,18.2,27,,,,,,
9100-23616,7/12/2012,20:20,MCGC,FCE,RUHU,AHY,F,3.9,45.8,18.5,28,,,,,,
9100-23617,7/12/2012,20:20,MCGC,TBE,BTLH,HY,M,3.9,47.6,15.7,29,,,,,,
9100-23618,7/13/2012,10:05,KV1,FCE,BTLH,HY,M,3.3,49,15.6,29.6,,,,,,
9100-23619,7/13/2012,13:50,HOLZ,FCE,BTLH,AHY,M,3.2,50.3,17.2,32.1,,,,,,
9100-23620,7/13/2012,14:20,HOLZ,FCE,BTLH,AHY,M,3.3,50.4,17.5,32,,,,,,
9100-23621,7/13/2012,14:50,HOLZ,FCE,BTLH,AHY,M,3.3,48.2,17.9,31,,,,,,
9100-23622,7/13/2012,17:37,GNMTN,FCE,BTLH,AHY,M,3.6,48.8,19.8,32,,,,,,
9100-23623,7/13/2012,17:45,GNMTN,FCE,BTLH,AHY,M,3.3,50.1,17.9,31.8,,,,,,
9100-23624,7/13/2012,17:45,GNMTN,FCE,RUHU,HY,F,3.5,45,17,27,,,,,,
9100-23625,7/14/2012,10:05,MCGC,FCE,BTLH,HY,M,4.8,50.8,17.1,31.2,,,,,,
9100-23626,7/6/2012,14:35,GNMTN,FCE,BTLH,AHY,F,4.2,50.6,20,30.2,,,,,,fat
9100-23627,7/6/2012,14:48,GNMTN,FCE,BTLH,AHY,F,3.9,51.6,19.3,31.2,,,,,,
9100-23628,7/6/2012,15:20,GNMTN,FCE,BTLH,AHY,F,3.9,51,19,31.1,,,,,,fat
9100-23629,7/6/2012,15:30,GNMTN,FCE,BTLH,AHY,F,3.8,49.7,19.5,29,,,,,,
9100-23630,7/6/2012,15:30,GNMTN,FCE,BTLH,AHY,F,4,50.9,19.3,31,,,,,,E6
9100-23631,7/6/2012,15:30,GNMTN,FCE,BTLH,AHY,F,4,48.3,18.1,29.5,,,,,,fat
9100-23632,7/7/2012,8:15,MCGC,FCE,BTLH,AHY,F,3.7,49.8,19.2,30.6,,,,,,
9100-23633,7/7/2012,8:15,MCGC,FCE,BTLH,AHY,F,3.5,49.5,18.2,29.6,,,,,,
9100-23634,7/7/2012,8:36,MCGC,FCE,BTLH,AHY,F,3.8,50.7,18.2,30.1,,,,,,
9100-23635,7/7/2012,8:36,MCGC,FCE,BTLH,AHY,F,3.8,49.5,19.1,30,,,,,,
9100-23636,7/7/2012,9:00,MCGC,FCE,BTLH,AHY,F,3.5,49.3,18,30.5,,,,,,
9100-23637,7/7/2012,9:00,MCGC,FCE,BTLH,AHY,F,4.5,50.4,18,30.2,,,,,,"fat, E6-"
9100-23638,7/7/2012,9:15,MCGC,FCE,BTLH,AHY,F,3.2,49.6,19.1,29.1,,,,,,
9100-23639,7/8/2012,10:00,MP1,FCE,BTLH,AHY,F,3,50.8,18.5,30.2,,,,,,
9100-23640,7/8/2012,10:00,MP1,FCE,BTLH,AHY,F,3.2,50.6,18.4,31.2,,,,,,
9100-23641,7/8/2012,10:10,MP1,FCE,BTLH,HY,F,3.3,50.9,18,30.2,,,,,,
9100-23642,7/8/2012,10:10,MP1,TBE,BTLH,AHY,F,4.3,49.7,19,30.5,,,,,,
9100-23643,7/8/2012,10:29,MP1,FCE,BTLH,AHY,F,3.6,50.7,18.8,29.1,,,,,,
9100-23644,7/8/2012,10:29,MP1,FCE,BTLH,AHY,F,3.6,51,18.9,30,,,,,,
9100-23645,7/8/2012,10:29,MP1,FCE,BTLH,AHY,F,3.5,51.4,18.8,29.2,,,,,,
9100-23646,7/8/2012,10:42,MP1,FCE,BTLH,AHY,F,3.2,51.1,19.1,30.4,,,,,,
9100-23647,7/8/2012,10:42,MP1,FCE,BTLH,AHY,F,3.4,51,18.3,31,,,,,,
9100-23648,7/8/2012,10:42,MP1,FCE,BTLH,AHY,F,4.4,50.8,20.2,29,,,,,,
9100-23649,7/8/2012,11:04,MP1,TBE,BTLH,AHY,F,3.8,48.4,18.4,31,,,,,,
9100-23650,7/8/2012,11:24,MP1,FCE,BTLH,AHY,F,4.2,50.7,19.8,30.5,,,,,,
9100-23651,7/11/2012,6:10,MCGC,FCE,BTLH,AHY,F,3.6,50.7,18.1,29.6,,,,,,
9100-23652,7/11/2012,6:10,MCGC,FCE,BTLH,AHY,F,3.8,49.8,18.5,30,,,,,,
9100-23653,7/11/2012,6:38,MCGC,FCE,BTLH,AHY,F,4.1,50.2,20,30.2,,,,,,
9100-23654,7/11/2012,6:38,MCGC,FCE,BTLH,AHY,F,3.7,49.4,19.1,30.8,,,,,,
9100-23655,7/11/2012,6:38,MCGC,FCE,BTLH,AHY,F,3.8,50.9,19,31,,,,,,fat
9100-23656,7/11/2012,6:38,MCGC,FCE,BTLH,AHY,F,4.1,49.5,19,30.2,,,,,,
9100-23657,7/11/2012,7:20,MCGC,FCE,BTLH,AHY,F,3.9,51.1,19,29.1,,,,,,
9100-23658,7/11/2012,7:20,MCGC,FCE,BTLH,AHY,F,3.8,49.7,18.6,30.8,,,,,,E6
9100-23659,7/11/2012,7:36,MCGC,TBE,BTLH,AHY,F,3.8,,,,,,,,,
9100-23660,7/11/2012,8:09,MCGC,FCE,BTLH,AHY,F,3.2,49.4,18.7,30,,,,,,
9100-23661,7/11/2012,8:30,MCGC,TBE,BTLH,AHY,F,3.7,49.6,19,31,,,,,,E6
9100-23662,7/11/2012,9:48,MCGC,TBE,BTLH,AHY,F,4,49.3,18.2,28,,,,,,E8
9100-23663,7/11/2012,9:30,MCGC,FCE,BTLH,AHY,F,3.9,49.5,19.5,31,,,,,,fat
9100-23664,7/11/2012,15:50,MCGC,FCE,BTLH,AHY,F,3.2,49.5,18.2,29.1,,,,,,
9100-23665,7/11/2012,16:35,MCGC,TBE,BTLH,AHY,F,3.4,50,18.8,29,,,,,,
9100-23666,7/11/2012,17:00,MCGC,FCE,BTLH,AHY,F,4.2,51.6,19.8,30,,,,,,E9
9100-23667,7/11/2012,17:00,MCGC,TBE,BTLH,AHY,F,3.8,,,,,,,,,
9100-23668,7/11/2012,17:25,MCGC,FCE,BTLH,AHY,F,4.2,51.4,19.1,30.1,,,,,,fat
9100-23669,7/11/2012,19:00,MCGC,TBE,BTLH,AHY,F,4.1,49.4,17.9,31.5,,,,,,
9100-23670,7/11/2012,19:05,MCGC,FCE,BTLH,AHY,F,3.5,50.4,18.6,31.6,,,,,,
9100-23671,7/12/2012,10:15,HPK2,FCE,BTLH,AHY,F,3.5,50.6,18.2,30,,,,,,
9100-23672,7/12/2012,10:35,HPK2,FCE,BTLH,AHY,F,3.3,50.9,18.9,30,,,,,,
9100-23673,7/12/2012,10:35,HPK2,FCE,BTLH,AHY,F,3.4,51.5,18.5,32,,,,,,
9100-23674,7/12/2012,10:35,HPK2,FCE,BTLH,AHY,F,3.4,49.8,19.1,30.1,,,,,,
9100-23675,7/12/2012,10:54,HPK2,FCE,BTLH,AHY,F,3.5,50.1,18.8,,,,,,,rectrices growing in
9100-23676,7/13/2012,11:22,KV1,FCE,BTLH,AHY,F,3.4,50.6,18.5,,,,,,,"missing r1s, r2-5r"
9100-23677,7/13/2012,11:44,KV1,FCE,BTLH,AHY,F,3.8,51.1,20,30.3,,,,,,
9100-23678,7/13/2012,11:50,KV1,FCE,BTLH,AHY,F,3.9,50.2,18.9,31.1,,,,,,
9100-23679,7/13/2012,12:00,KV1,FCE,BTLH,AHY,F,3.4,50.3,19.1,30.9,,,,,,
9100-23680,7/13/2012,12:03,KV1,FCE,BTLH,AHY,F,3.4,51.3,19.2,31.2,,,,,,
9100-23681,7/13/2012,12:03,KV1,FCE,BTLH,AHY,F,3.7,50.2,18.3,31,,,,,,
9100-23682,7/13/2012,12:10,KV1,FCE,BTLH,AHY,F,3.5,50.8,18.5,30,,,,,,
9100-23683,7/13/2012,13:50,HOLZ,FCE,BTLH,AHY,F,5,51.1,20.1,29.6,,,,,,E9
9100-23684,7/13/2012,13:50,HOLZ,TBE,BTLH,AHY,F,3.9,48.8,18,30.5,,,,,,
9100-23685,7/13/2012,14:10,HOLZ,FCE,BTLH,AHY,F,3.6,51.6,21,31.8,,,,,,
9100-23686,7/13/2012,14:20,HOLZ,FCE,BTLH,AHY,F,3.9,50.5,17.2,30.8,,,,,,
9100-23687,7/13/2012,14:20,HOLZ,TBE,BTLH,AHY,F,3.6,48.4,18.1,31,,,,,,
9100-23688,7/13/2012,15:08,HOLZ,FCE,BTLH,HY,M,4.2,50.3,16.8,29,,,,,,
9100-23689,7/13/2012,16:35,GNMTN,FCE,BTLH,AHY,F,3.3,51.2,19.1,31.7,,,,,,
9100-23690,7/13/2012,16:35,GNMTN,FCE,BTLH,AHY,F,5,51.1,19,30,,,,,,E8
9100-23691,7/13/2012,16:50,GNMTN,FCE,BTLH,AHY,F,4.3,51.3,19.2,30.2,,,,,,fat
9100-23692,7/13/2012,16:50,GNMTN,FCE,BTLH,AHY,F,3.6,50,18.5,29.5,,,,,,
9100-23693,7/13/2012,16:50,GNMTN,FCE,BTLH,AHY,F,4,48.8,18.2,29.1,,,,,,
9100-23694,7/13/2012,17:00,GNMTN,FCE,BTLH,AHY,F,3.8,49.7,18.5,29,,,,,,
9100-23695,7/13/2012,17:10,GNMTN,FCE,BTLH,AHY,F,4,50.1,18.2,31,,,,,,
9100-23696,7/13/2012,17:10,GNMTN,FCE,BTLH,AHY,F,3.9,49.9,19.2,30,,,,,,
9100-23697,7/13/2012,17:28,GNMTN,FCE,BTLH,AHY,F,3.7,50,18.2,31.5,,,,,,
9100-23698,7/13/2012,17:28,GNMTN,FCE,BTLH,AHY,F,4,50.9,19,31,,,,,,
9100-23699,7/13/2012,17:28,GNMTN,FCE,BTLH,AHY,F,3.4,48.9,18.2,30,,,,,,
9100-23700,7/13/2012,17:45,GNMTN,FCE,BTLH,AHY,F,3.6,49.2,18,29.2,,,,,,
9100-23701,7/12/2012,11:14,HPK2,FCE,BTLH,AHY,F,3.3,49.9,19.2,29,,,,,,
9100-23702,7/12/2012,11:14,HPK2,FCE,BTLH,HY,F,3.6,50.7,18.1,,,,,,,
9100-23703,7/12/2012,11:30,HPK2,FCE,BTLH,AHY,F,3.7,50.9,20.1,30.6,,,,,,E7
9100-23704,7/12/2012,11:30,HPK2,FCE,BTLH,AHY,F,3.9,51.2,19,30.8,,,,,,
9100-23705,7/12/2012,12:06,HPK2,FCE,BTLH,AHY,F,4,49.5,19.5,30,,,,,,E8
9100-23706,7/12/2012,12:06,HPK2,FCE,BTLH,AHY,F,3.4,49.2,19.2,28.2,,,,,,
9100-23707,7/12/2012,12:30,HPK2,FCE,BTLH,AHY,F,4,51.4,18.9,29.5,,,,,,E7
9100-23708,7/12/2012,12:33,HPK2,FCE,BTLH,AHY,F,4,50.3,18.2,32,,,,,,
9100-23709,7/12/2012,12:33,HPK2,FCE,BTLH,AHY,F,3.8,51.9,19.1,32.2,,,,,,fat
9100-23710,7/12/2012,12:45,HPK2,FCE,BTLH,AHY,F,3.3,50.7,19,30.2,,,,,,
9100-23711,7/12/2012,12:56,HPK2,FCE,BTLH,AHY,F,3.3,49.1,18.6,29.5,,,,,,
9100-23712,7/12/2012,19:20,MCGC,FCE,BTLH,AHY,F,4,50.8,18.8,30.2,,,,,,fat
9100-23713,7/12/2012,19:20,MCGC,TBE,BTLH,AHY,F,3.5,48.9,17.6,29,,,,,,
9100-23714,7/12/2012,19:35,MCGC,FCE,BTLH,HY,F,3.5,48.8,20,28.2,,,,,,
9100-23715,7/12/2012,19:55,MCGC,TBE,BTLH,AHY,F,3.6,49.9,19.5,30.2,,,,,,
9100-23716,7/13/2012,10:10,KV1,FCE,BTLH,AHY,F,3.7,50.1,18.8,31,,,,,,
9100-23717,7/13/2012,10:10,KV1,FCE,BTLH,AHY,F,3.4,50.1,18,29.4,,,,,,
9100-23718,7/13/2012,10:32,KV1,FCE,BTLH,AHY,F,3.7,49.6,19.2,30.2,,,,,,
9100-23719,7/13/2012,10:35,KV1,FCE,BTLH,AHY,F,3.4,50,19,31.4,,,,,,
9100-23720,7/13/2012,10:45,KV1,FCE,BTLH,AHY,F,3.5,49.9,18.2,31,,,,,,
9100-23721,7/13/2012,10:49,KV1,FCE,BTLH,AHY,F,3.5,51.2,20.1,30.6,,,,,,
9100-23722,7/13/2012,10:53,KV1,FCE,BTLH,AHY,F,4.1,48.8,19.2,30,,,,,,fat
9100-23723,7/13/2012,10:59,KV1,FCE,BTLH,AHY,F,3.7,49.3,18.2,30,,,,,,
9100-23724,7/13/2012,11:22,KV1,FCE,BTLH,AHY,F,3.5,50.8,19.4,31.1,,,,,,
9100-23725,7/13/2012,11:22,KV1,FCE,BTLH,AHY,F,3.7,49.7,20,30.1,,,,,,
9100-23726,7/14/2012,16:40,MP1,FCE,BTLH,AHY,M,3.6,48.9,18.9,31.8,,,,,,
9100-23727,7/14/2012,18:35,MP1,FCE,RUHU,AHY,F,3.7,44.1,17.5,26,,,,,,
9100-23728,7/15/2012,6:50,MCGC,FCE,RUHU,AHY,F,3.8,43.9,18.1,27,,,,,,
9100-23729,7/15/2012,9:00,MCGC,TBE,BTLH,HY,M,3.5,,,,,,,,,
9100-23730,7/15/2012,9:00,MCGC,FCE,RUHU,AHY,F,4,45.4,18.8,28.5,,,,,,
9100-23731,7/17/2012,10:17,HPK2,FCE,BTLH,AHY,M,3.3,50,17.8,31.1,,,,,,
9100-23732,7/18/2012,6:05,MCGC,FCE,RUHU,AHY,F,4,43.3,18.1,25.8,,,,,,
9100-23733,7/18/2012,6:30,MCGC,TBE,RUHU,AHY,F,3.5,,,,,,,,,
9100-23734,7/18/2012,6:55,MCGC,FCE,BTLH,HY,M,3.7,48.8,18.2,30,,,,,,
9100-23735,7/18/2012,6:55,MCGC,TBE,BTLH,AHY,M,3.4,48.5,19.1,31,,,,,,
9100-23736,7/18/2012,7:28,MCGC,FCE,RUHU,AHY,F,3.8,43.6,17.1,26.3,,,,,,
9100-23737,7/18/2012,7:28,MCGC,FCE,RUHU,AHY,F,4,44.2,18.2,27,,,,,,
9100-23738,7/18/2012,8:08,MCGC,FCE,RUHU,AHY,F,3.8,43.7,17,25.8,,,,,,
9100-23739,7/18/2012,8:08,MCGC,FCE,RUHU,HY,F,4.3,44.4,18.1,27.2,,,,,,
9100-23740,7/18/2012,8:48,MCGC,FCE,RUHU,AHY,F,3.5,45.3,18.8,28,,,,,,
9100-23741,7/18/2012,8:48,MCGC,FCE,RUHU,AHY,F,3.2,44.2,18,26.1,,,,,,
9100-23742,7/18/2012,8:58,MCGC,FCE,RUHU,AHY,F,3.3,44.3,17.1,29,,,,,,
9100-23743,7/18/2012,8:58,MCGC,FCE,RUHU,AHY,F,3.3,43.3,17.1,26.8,,,,,,
9100-23744,7/18/2012,8:58,MCGC,TBE,RUHU,AHY,F,3.4,43.2,17,27,,,,,,
9100-23745,7/18/2012,10:58,MCGC,TBE,RUHU,AHY,F,4.1,45.7,16.5,26.5,,,,,,
9100-23746,7/18/2012,10:58,MCGC,FCE,RUHU,AHY,F,3.5,45.5,17.1,27.2,,,,,,
9100-23747,7/19/2012,11:15,MP1,FCE,BTLH,HY,M,3.6,48.8,17.4,29,,,,,,
9100-23748,7/19/2012,11:15,MP1,FCE,BTLH,HY,M,3.8,47.6,16.2,30,,,,,,
9100-23749,7/19/2012,11:58,MP1,FCE,RUHU,AHY,F,3.9,44.4,17.2,28.5,,,,,,
9100-23750,7/19/2012,12:40,MP1,FCE,BTLH,AHY,M,3.8,49.4,17.2,30.6,,,,,,
9100-23751,7/14/2012,9:20,MCGC,TBE,BTLH,AHY,F,3.7,50.3,19.2,29.8,,,,,,E9
9100-23752,7/14/2012,11:00,MCGC,TBE,BTLH,AHY,F,3.7,49.1,17.7,31.5,,,,,,
9100-23753,7/14/2012,12:12,MCGC,FCE,BTLH,AHY,F,4.2,50.5,20,28.4,,,,,,
9100-23754,7/14/2012,16:40,MP1,TBE,BTLH,AHY,F,3.7,48.6,18.9,30,,,,,,
9100-23755,7/14/2012,16:40,MP1,TBE,BTLH,AHY,F,3.8,49.5,18.7,30.1,,,,,,
9100-23756,7/14/2012,16:40,MP1,TBE,BTLH,AHY,F,4.1,50.1,18.2,30,,,,,,
9100-23757,7/14/2012,17:25,MP1,TBE,BTLH,AHY,F,3.4,49.5,19,30,,,,,,
9100-23758,7/14/2012,17:25,MP1,FCE,BTLH,AHY,F,3.5,50.9,18.8,30,,,,,,
9100-23759,7/14/2012,18:05,MP1,FCE,BTLH,AHY,F,3.6,50.3,18.1,31,,,,,,
9100-23760,7/14/2012,18:05,MP1,FCE,BTLH,AHY,F,3.9,50.3,19,31.5,,,,,,fat
9100-23761,7/14/2012,17:54,MP1,TBE,BTLH,AHY,F,4.2,48.4,19.2,30.1,,,,,,
9100-23762,7/14/2012,18:05,MP1,FCE,BTLH,AHY,F,3.9,50.1,19.2,30.5,,,,,,fat
9100-23763,7/14/2012,18:30,MP1,TBE,BTLH,AHY,F,3.4,49,16.7,30.5,,,,,,
9100-23764,7/14/2012,18:35,MP1,TBE,BTLH,AHY,F,4,48.7,18.9,30.5,,,,,,
9100-23765,7/14/2012,18:35,MP1,FCE,BTLH,AHY,F,3.4,49.7,19,29.9,,,,,,
9100-23766,7/14/2012,18:35,MP1,TBE,BTLH,AHY,F,3.3,49.4,17.9,,,,,,,r1-5 missing
9100-23767,7/15/2012,7:08,MCGC,FCE,BTLH,AHY,F,3.9,51,18.6,31,,,,,,E6+
9100-23768,7/15/2012,7:25,MCGC,TBE,BTLH,AHY,F,3.3,49.1,18.8,29.5,,,,,,
9100-23769,7/15/2012,7:25,MCGC,FCE,BTLH,AHY,F,3.4,50.2,19,30.8,,,,,,
9100-23770,7/15/2012,7:40,MCGC,FCE,BTLH,AHY,F,3.8,51.2,18.5,30.6,,,,,,
9100-23771,7/15/2012,7:55,MCGC,FCE,BTLH,AHY,F,3.9,50.8,19.1,30.1,,,,,,fat
9100-23772,7/17/2012,9:07,HPK2,FCE,BTLH,AHY,F,3.3,51.9,19.8,31,,,,,,
9100-23773,7/17/2012,9:30,HPK2,FCE,BTLH,AHY,F,3.7,49.7,20.8,31.1,,,,,,
9100-23774,7/18/2012,6:05,MCGC,FCE,BTLH,AHY,F,3.8,49.5,19,30.1,,,,,,
9100-23775,7/18/2012,6:30,MCGC,FCE,BTLH,AHY,F,3.3,49.6,18.2,29.8,,,,,,
9100-23776,7/18/2012,6:50,MCGC,FCE,BTLH,AHY,F,3.5,50.3,18.9,29.1,,,,,,
9100-23777,7/18/2012,7:28,MCGC,FCE,BTLH,AHY,F,3.9,50,18.6,29.1,,,,,,
9100-23778,7/18/2012,8:37,MCGC,FCE,BTLH,AHY,F,3.9,51.7,20,30.2,,,,,,
9100-23779,7/18/2012,8:59,MCGC,TBE,BTLH,HY,F,3.6,49.5,17.3,30.3,,,,,,
9100-23780,7/18/2012,10:28,MCGC,FCE,BTLH,AHY,F,3.5,49.7,18.2,30,,,,,,
9100-23781,7/19/2012,11:10,MP1,FCE,BTLH,AHY,F,3.2,51.1,18.8,29.8,,,,,,
9100-23782,7/19/2012,11:10,MP1,FCE,BTLH,AHY,F,3.2,49.4,19,29,,,,,,
9100-23783,7/19/2012,11:50,MP1,FCE,BTLH,AHY,F,3.2,49.5,17.6,30,,,,,,
9100-23784,7/19/2012,11:50,MP1,FCE,BTLH,AHY,F,3.4,49.2,19.8,29,,,,,,
9100-23785,7/19/2012,12:40,MP1,FCE,BTLH,HY,F,3.4,50.6,18.2,29.7,,,,,,
9100-23786,7/19/2012,12:50,MP1,FCE,BTLH,AHY,F,4,49.4,19.1,30.2,,,,,,
9100-23787,7/20/2012,10:06,HOLZ,FCE,BTLH,HY,F,3.5,49.6,18.8,29.6,,,,,,
9100-23788,7/20/2012,10:16,HOLZ,FCE,BTLH,AHY,F,3.7,51,19,30,,,,,,
9100-23789,7/20/2012,10:40,HOLZ,FCE,BTLH,AHY,F,3.5,49,18,29.9,,,,,,
9100-23790,7/20/2012,10:40,HOLZ,TBE,BTLH,AHY,F,3.4,48.5,19.5,29.8,,,,,,
9100-23791,7/14/2012,11:00,MCGC,FCE,CAHU,AHY,M,3.1,39.4,15,18,,,,,,
9100-23792,7/14/2012,11:39,MCGC,FCE,CAHU,AHY,M,3.4,38.6,14,19.2,,,,,,
9100-23793,7/14/2012,17:25,MP1,FCE,CAHU,AHY,M,3.1,38.4,14.6,18.1,,,,,,
9100-23795,7/15/2012,8:10,MCGC,FCE,CAHU,AHY,M,2.8,40.1,14.6,19.1,,,,,,
9100-23796,7/15/2012,8:10,MCGC,FCE,CAHU,AHY,M,2.9,43.1,15.8,21.1,,,,,,
9100-23797,7/15/2012,8:11,MCGC,FCE,CAHU,AHY,M,3.5,38.8,15.2,19,,,,,,
9100-23798,7/15/2012,8:45,MCGC,FCE,CAHU,AHY,F,2.7,42.5,16,21.1,,,,,,
9100-23799,7/18/2012,10:08,MCGC,FCE,CAHU,AHY,M,2.6,38,14,17.1,,,,,,
9100-23800,7/18/2012,10:28,MCGC,FCE,CAHU,AHY,M,2.6,39.5,13.9,18.8,,,,,,
9100-23801,7/20/2012,11:05,HOLZ,FCE,BTLH,AHY,F,3.8,50.1,18,28.2,,,,,,
9100-23802,7/20/2012,11:05,HOLZ,FCE,BTLH,AHY,F,3.5,49.3,19.2,30.2,,,,,,
9100-23803,7/20/2012,11:05,HOLZ,FCE,BTLH,AHY,F,3.9,49.6,18,29.5,,,,,,
9100-23804,7/20/2012,11:05,HOLZ,FCE,BTLH,AHY,F,3.4,50.2,18,29.5,,,,,,
9100-23805,7/20/2012,11:25,HOLZ,FCE,BTLH,AHY,F,3.4,51.3,18.6,29.8,,,,,,
9100-23806,7/20/2012,11:25,HOLZ,TBE,BTLH,AHY,F,3.3,50.2,19.5,30,,,,,,
9100-23807,7/20/2012,11:45,HOLZ,FCE,BTLH,AHY,F,3.6,49.2,19.7,29,,,,,,
9100-23808,7/20/2012,11:45,HOLZ,FCE,BTLH,AHY,F,3.7,50.9,19.8,29.9,,,,,,
9100-23809,7/20/2012,11:59,HOLZ,FCE,BTLH,AHY,F,4,49.9,19.5,30.2,,,,,,
9100-23810,7/20/2012,15:15,GNMTN,FCE,BTLH,AHY,F,3.7,49.8,19,29.5,,,,,,
9100-23811,7/17/2012,9:18,HPK2,FCE,BTLH,AHY,M,3.4,49.7,18,31,,,,,,
9100-23812,7/17/2012,9:30,HPK2,FCE,RUHU,AHY,M,3.9,40.6,17,27,,,,,,
9100-23813,7/17/2012,9:45,HPK2,FCE,RUHU,AHY,M,4.4,41,16.8,28,,,,,,
9100-23814,7/18/2012,8:23,MCGC,FCE,RUHU,AHY,M,4.3,39.9,16,28,,,,,,
9100-23815,7/18/2012,8:37,MCGC,FCE,BTLH,AHY,M,3.1,49.3,17.9,30.2,,,,,,
9100-23816,7/18/2012,8:58,MCGC,FCE,RUHU,AHY,M,3.5,40.6,15.8,29.2,,,,,,
9100-23817,7/18/2012,10:00,MCGC,FCE,RUHU,AHY,M,3.9,40.6,16.5,28.1,,,,,,
9100-23818,7/19/2012,11:15,MP1,FCE,RUHU,AHY,M,3.4,38.6,15.5,27.5,,,,,,
9100-23819,7/20/2012,15:15,GNMTN,FCE,RUHU,HY,M,4,42.9,16,25.6,,,,,,
9100-23820,7/20/2012,17:10,GNMTN,TBE,RUHU,AHY,M,3.6,39.3,16.5,27,,,,,,
9100-23821,7/19/2012,11:58,MP1,FCE,CAHU,AHY,F,3.2,41.8,16,20.8,,,,,,
9100-23822,7/19/2012,12:30,MP1,FCE,CAHU,AHY,M,2.7,37.3,14,18.1,,,,,,
9100-23823,7/20/2012,10:16,HOLZ,FCE,CAHU,AHY,F,2.7,43.1,16,21,,,,,,
9100-23824,7/20/2012,10:40,HOLZ,FCE,CAHU,AHY,M,2.7,39.9,14.1,18.7,,,,,,
9100-23825,7/20/2012,11:25,HOLZ,FCE,CAHU,AHY,F,2.8,44.5,16.2,21.5,,,,,,
9100-23826,7/20/2012,10:40,HOLZ,FCE,RUHU,AHY,F,3.2,44.3,18,27.1,,,,,,
9100-23827,7/20/2012,12:05,HOLZ,FCE,RUHU,AHY,F,4.2,44.4,17.7,28.2,,,,,,
9100-23828,7/20/2012,12:05,HOLZ,FCE,RUHU,AHY,F,3.1,43.5,18.1,27,,,,,,
9100-23829,7/20/2012,15:15,GNMTN,TBE,RUHU,AHY,F,4.4,44.4,17.2,25,,,,,,
9100-23830,7/20/2012,15:15,GNMTN,FCE,RUHU,AHY,F,3.5,43,17.2,27.1,,,,,,
9100-23831,7/20/2012,17:00,GNMTN,FCE,BTLH,AHY,M,4.3,50.1,18.2,31.2,,,,,,
9100-23832,7/21/2012,15:17,MCGC,FCE,RUHU,AHY,F,3.8,43.8,17.1,26.1,,,,,,
9100-23833,7/21/2012,17:00,MCGC,FCE,RUHU,HY,F,3.7,43.7,18,26,,,,,,
9100-23834,7/21/2012,17:40,MCGC,FCE,BTLH,HY,M,4.1,48.3,17,30,,,,,,
9100-23835,7/21/2012,17:40,MCGC,FCE,RUHU,HY,F,4.5,44.4,17,,,,,,,r1-2 missing
9100-23836,7/22/2012,13:00,CC3,FCE,RUHU,AHY,F,3.3,44.7,17,27.1,,,,,,
9100-23837,7/22/2012,7:00,MCGC,TBE,RUHU,AHY,F,3.6,,,,,,,,,
9100-23838,7/22/2012,7:00,MCGC,TBE,BTLH,HY,M,3.9,47.3,18,29.1,,,,,,
9100-23839,7/22/2012,8:23,MCGC,FCE,RUHU,AHY,F,4.4,43.6,18.1,27.1,,,,,,
9100-23840,7/22/2012,9:05,MCGC,FCE,RUHU,AHY,F,3.7,44.3,18.8,27.5,,,,,,
9100-23841,7/24/2012,6:15,MCGC,FCE,RUHU,AHY,F,4.2,44.3,17,26.1,,,,,,
9100-23842,7/24/2012,6:50,MCGC,FCE,RUHU,AHY,F,3.6,42.6,18.2,26,,,,,,
9100-23843,7/25/2012,15:45,MP1,FCE,BTLH,AHY,M,3.6,49.8,19,31,,,,,,
9100-23844,7/25/2012,15:45,MP1,FCE,BTLH,AHY,M,4.1,48.9,18.1,30.5,,,,,,
9100-23845,7/25/2012,16:02,MP1,FCE,BTLH,AHY,M,3.8,50.3,17.8,30.2,,,,,,
9100-23846,7/25/2012,16:12,MP1,FCE,BTLH,AHY,M,3.6,50.7,17.2,32,,,,,,
