band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,record_id,species_scientific_name
B82833401778,B82833401778,,B,07/31/2021,31,07,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,2,5,P3735013,0,,,,,0.00,B,15327168,Selasphorus platycercus
B82833401778,B82833401778,,E,08/02/2022,02,08,2022,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,1.17,R,17673088,Selasphorus platycercus
B82833409833,B82833409833,,B,07/26/2022,26,07,2022,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,2,5,P3735013,0,,,,,,B,17679022,Selasphorus platycercus
B82833409833,B82833409833,,E,08/02/2022,02,08,2022,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,2,5,P3735013,,66,23,14,07,0.17,R,17673084,Selasphorus platycercus
B82833626576,B82833626576,,B,07/11/2018,11,07,2018,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,0,,,,,,B,-14908777,Selasphorus platycercus
B82833626576,B82833626576,,E,06/02/2020,02,06,2020,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,,66,23,14,07,3.00,R,12513452,Selasphorus platycercus
B83833014013,B83833014013,,B,06/16/2016,16,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,0,,,,,,B,-17730275,Selasphorus platycercus
B83833014013,B83833014013,,E,06/29/2016,29,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,97,23,14,07,1.00,R,-31968577,Selasphorus platycercus
B83833014173,B83833014173,,B,06/08/2016,08,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,0,,,,,,B,-17868274,Selasphorus platycercus
B83833014173,B83833014173,,E,07/21/2016,21,07,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,18,1,4,P3735013,,97,23,14,07,1.08,R,-31968561,Selasphorus platycercus
B83833014173,B83833014173,,E,06/06/2017,06,06,2017,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,4,P3735013,,66,23,14,07,2.00,R,17673040,Selasphorus platycercus
B83833014253,B83833014253,,B,06/08/2016,08,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,5,P3735013,0,,,,,,B,-17876740,Selasphorus platycercus
B83833014253,B83833014253,,E,06/26/2016,26,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,97,23,14,07,1.00,R,-31967404,Selasphorus platycercus
B83833014330,B83833014330,,B,06/07/2016,07,06,2016,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,5,P3735013,0,,,,,0.00,B,-17876748,Selasphorus platycercus
B83833014330,B83833014330,,E,07/30/2017,30,07,2017,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,2.08,R,-31968969,Selasphorus platycercus
