"band","band_status","year","sex","recap_num","obsdate","site","band_year","band_age","band_site","breeding","month","day","location"
"5000-96665","1",2004,"F","r00",2004-07-26,"MCGC",2004,"AHY","MCGC",NA,7,26,"east"
"5000-96665","R",2006,"F","r01",2006-06-05,"MCGC",2004,"AHY","MCGC",NA,6,5,"east"
"5000-96665","R",2006,"F","r02",2006-07-18,"MCGC",2004,"AHY","MCGC",NA,7,18,"east"
"5000-96666","1",2004,"F","r00",2004-07-26,"MCGC",2004,"AHY","MCGC",NA,7,26,"east"
"5000-96667","1",2004,"F","r00",2004-07-26,"MCGC",2004,"AHY","MCGC",NA,7,26,"east"
"5000-96668","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96669","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96670","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96671","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96671","R",2005,"F","r01",2005-06-13,"MP1",2004,"AHY","MP1","E6",6,13,"east"
"5000-96672","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96672","R",2005,"F","r01",2005-06-02,"MP1",2004,"AHY","MP1",NA,6,2,"east"
"5000-96672","R",2005,"F","r02",2005-06-03,"MP1",2004,"AHY","MP1",NA,6,3,"east"
"5000-96672","R",2005,"F","r03",2005-08-18,"MP1",2004,"AHY","MP1",NA,8,18,"east"
"5000-96673","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96673","R",2005,"F","r01",2005-05-31,"MP1",2004,"AHY","MP1",NA,5,31,"east"
"5000-96673","R",2005,"F","r02",2005-06-02,"MP1",2004,"AHY","MP1",NA,6,2,"east"
"5000-96673","R",2005,"F","r03",2005-06-05,"MP1",2004,"AHY","MP1",NA,6,5,"east"
"5000-96674","1",2004,"M","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96674","R",2005,"M","r01",2005-06-25,"MP1",2004,"AHY","MP1",NA,6,25,"east"
"5000-96675","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96675","R",2005,"F","r01",2005-06-01,"MP1",2004,"AHY","MP1",NA,6,1,"east"
"5000-96675","R",2007,"F","r01",2007-08-22,"MP1",2004,"AHY","MP1",NA,8,22,"east"
"5000-96676","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96676","R",2005,"F","r01",2005-05-18,"MP1",2004,"AHY","MP1",NA,5,18,"east"
"5000-96676","R",2005,"F","r02",2005-06-02,"MP1",2004,"AHY","MP1",NA,6,2,"east"
"5000-96676","R",2005,"F","r03",2005-06-05,"MP1",2004,"AHY","MP1","E6",6,5,"east"
"5000-96676","R",2007,"F","r01",2007-05-17,"MP1",2004,"AHY","MP1","E6",5,17,"east"
"5000-96677","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96678","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96678","R",2005,"F","r01",2005-06-02,"MP1",2004,"AHY","MP1","E8",6,2,"east"
"5000-96678","R",2006,"F","r01",2006-06-03,"MP1",2004,"AHY","MP1",NA,6,3,"east"
"5000-96679","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96679","R",2005,"F","r01",2005-06-11,"MP1",2004,"AHY","MP1",NA,6,11,"east"
"5000-96679","R",2006,"F","r01",2006-08-16,"MP1",2004,"AHY","MP1",NA,8,16,"east"
"5000-96680","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96680","R",2005,"F","r01",2005-05-25,"MP1",2004,"AHY","MP1","E7",5,25,"east"
"5000-96680","R",2005,"F","r02",2005-06-13,"MP1",2004,"AHY","MP1",NA,6,13,"east"
"5000-96680","R",2005,"F","r03",2005-06-18,"MP1",2004,"AHY","MP1",NA,6,18,"east"
"5000-96681","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96682","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96683","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96683","R",2005,"F","r01",2005-06-05,"MP1",2004,"AHY","MP1","E9",6,5,"east"
"5000-96683","R",2005,"F","r02",2005-07-07,"MP1",2004,"AHY","MP1","E7",7,7,"east"
"5000-96683","R",2006,"F","r01",2006-06-13,"MP1",2004,"AHY","MP1",NA,6,13,"east"
"5000-96683","R",2006,"F","r02",2006-08-28,"MP1",2004,"AHY","MP1",NA,8,28,"east"
"5000-96684","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96684","R",2005,"F","r01",2005-06-05,"MP1",2004,"AHY","MP1",NA,6,5,"east"
"5000-96684","R",2005,"F","r02",2005-08-25,"MP1",2004,"AHY","MP1",NA,8,25,"east"
"5000-96684","R",2007,"F","r01",2007-06-12,"MP1",2004,"AHY","MP1",NA,6,12,"east"
"5000-96685","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96685","R",2005,"F","r01",2005-06-25,"MP1",2004,"AHY","MP1",NA,6,25,"east"
"5000-96686","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96687","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96688","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96688","R",2004,"F","r01",2004-08-14,"MP1",2004,"AHY","MP1",NA,8,14,"east"
"5000-96689","1",2004,"F","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96690","1",2004,"M","r00",2004-07-26,"MP1",2004,"AHY","MP1",NA,7,26,"east"
"5000-96691","1",2004,"F","r00",2004-07-27,"MCGC",2004,"AHY","MCGC",NA,7,27,"east"
"5000-96692","1",2004,"M","r00",2004-07-27,"MCGC",2004,"HY","MCGC",NA,7,27,"east"
"5000-96693","1",2004,"F","r00",2004-07-27,"MCGC",2004,"AHY","MCGC",NA,7,27,"east"
"5000-96693","R",2006,"F","r01",2006-06-06,"MCGC",2004,"AHY","MCGC",NA,6,6,"east"
"5000-96693","R",2006,"F","r02",2006-06-07,"MCGC",2004,"AHY","MCGC",NA,6,7,"east"
"5000-96693","R",2006,"F","r03",2006-06-09,"MCGC",2004,"AHY","MCGC",NA,6,9,"east"
"5000-96693","R",2006,"F","r04",2006-07-27,"MCGC",2004,"AHY","MCGC",NA,7,27,"east"
"5000-96693","R",2006,"F","r05",2006-08-08,"MCGC",2004,"AHY","MCGC",NA,8,8,"east"
"5000-96693","R",2006,"F","r06",2006-08-21,"MCGC",2004,"AHY","MCGC",NA,8,21,"east"
"5000-96693","R",2006,"F","r07",2006-09-02,"MCGC",2004,"AHY","MCGC",NA,9,2,"east"
"5000-96694","1",2004,"M","r00",2004-07-27,"MCGC",2004,"HY","MCGC",NA,7,27,"east"
"5000-96695","1",2004,"F","r00",2004-07-27,"MCGC",2004,"AHY","MCGC",NA,7,27,"east"
"5000-96696","1",2004,"F","r00",2004-07-27,"MCGC",2004,"AHY","MCGC",NA,7,27,"east"
"5000-96697","1",2004,"F","r00",2004-07-28,"MCGC",2004,"AHY","MCGC",NA,7,28,"east"
"5000-96698","1",2004,"F","r00",2004-07-28,"MCGC",2004,"AHY","MCGC",NA,7,28,"east"
"5000-96698","R",2004,"F","r01",2004-08-04,"MCGC",2004,"AHY","MCGC",NA,8,4,"east"
"5000-96698","R",2004,"F","r02",2004-08-14,"MCGC",2004,"AHY","MCGC",NA,8,14,"east"
"5000-96698","R",2004,"F","r03",2004-08-15,"MCGC",2004,"AHY","MCGC",NA,8,15,"east"
"5000-96698","R",2004,"F","r04",2004-08-16,"MCGC",2004,"AHY","MCGC",NA,8,16,"east"
"5000-96699","1",2004,"F","r00",2004-07-28,"MCGC",2004,"AHY","MCGC",NA,7,28,"east"
"5000-96700","1",2004,"M","r00",2004-07-28,"MCGC",2004,"AHY","MCGC",NA,7,28,"east"
"5000-96706","1",2004,"F","r00",2004-07-28,"MCGC",2004,"AHY","MCGC",NA,7,28,"east"
"5000-96707","1",2004,"F","r00",2004-07-28,"CC2",2004,"AHY","CC2",NA,7,28,"east"
"5000-96710","1",2004,"F","r00",2004-08-05,"MCGC",2004,"AHY","MCGC",NA,8,5,"east"
"5000-96712","1",2004,"M","r00",2004-08-03,"MCGC",2004,"AHY","MCGC",NA,8,3,"east"
"5000-96713","1",2004,"M","r00",2004-08-03,"MCGC",2004,"AHY","MCGC",NA,8,3,"east"
"5000-96714","1",2004,"F","r00",2004-08-03,"MCGC",2004,"HY","MCGC",NA,8,3,"east"
"5000-96714","R",2004,"F","r01",2004-08-07,"MCGC",2004,"HY","MCGC",NA,8,7,"east"
"5000-96714","R",2006,"F","r01",2006-06-05,"MCGC",2004,"HY","MCGC",NA,6,5,"east"
"5000-96714","R",2006,"F","r02",2006-06-07,"MCGC",2004,"HY","MCGC",NA,6,7,"east"
"5000-96714","R",2006,"F","r03",2006-06-13,"MCGC",2004,"HY","MCGC",NA,6,13,"east"
"5000-96714","R",2006,"F","r04",2006-06-14,"MCGC",2004,"HY","MCGC",NA,6,14,"east"
"5000-96714","R",2006,"F","r05",2006-06-15,"MCGC",2004,"HY","MCGC",NA,6,15,"east"
"5000-96714","R",2006,"F","r06",2006-07-07,"MCGC",2004,"HY","MCGC",NA,7,7,"east"
"5000-96714","R",2006,"F","r07",2006-07-08,"MCGC",2004,"HY","MCGC",NA,7,8,"east"
"5000-96714","R",2006,"F","r08",2006-07-17,"MCGC",2004,"HY","MCGC",NA,7,17,"east"
