"","UBI_band","band_status","year","fixed_sex","site"
"474","5000-97070","R",2005,"M","MCGC"
"475","5000-97072","R",2005,"M","MCGC"
"476","5000-97076","R",2005,"M","MCGC"
"477","5000-97081","R",2005,"F","MCGC"
"478","5000-97083","R",2005,"M","MCGC"
"479","5000-97086","R",2005,"M","MCGC"
"480","5000-97087","R",2005,"M","MCGC"
"481","5000-97088","R",2005,"F","MP1"
"482","5000-97089","R",2005,"F","MP1"
"483","5000-97090","R",2005,"F","MP1"
"484","5000-97092","R",2005,"M","MP1"
"485","5000-97094","R",2005,"F","MP1"
"486","5000-97095","R",2005,"F","MP1"
"487","5000-97096","R",2005,"F","MP1"
"488","5000-97099","R",2005,"F","MP1"
"489","6000-23402","R",2005,"F","MP1"
"490","6000-23405","R",2005,"M","MCGC"
"491","6000-23408","R",2005,"F","MP1"
"492","6000-23409","R",2005,"F","MP1"
"493","6000-23415","R",2005,"F","MP1"
"494","6000-23416","R",2005,"F","MP1"
"495","6000-23417","R",2005,"F","MP1"
"496","6000-23420","R",2005,"F","MP1"
"497","6000-23425","R",2005,"M","MCGC"
"498","6000-23427","R",2005,"M","MP1"
"499","6000-23428","R",2005,"M","MP1"
"500","6000-23430","R",2005,"M","MP1"
"501","6000-23431","R",2005,"F","MP1"
"502","6000-23434","R",2005,"F","MP1"
"503","6000-23437","R",2005,"M","MP1"
"504","6000-23438","R",2005,"M","MP1"
"505","6000-23444","R",2005,"F","MP1"
"506","6000-23445","R",2005,"F","MP1"
"507","6000-23446","R",2005,"F","MP1"
"508","6000-23448","R",2005,"F","MP1"
"509","6000-23450","R",2005,"F","MCGC"
"510","6000-23458","R",2005,"M","MCGC"
"511","6000-23460","R",2005,"M","MCGC"
"512","6000-23461","R",2005,"F","MP1"
"513","6000-23464","R",2005,"F","MP1"
"514","6000-23465","R",2005,"F","MP1"
"515","6000-23468","R",2005,"F","MP1"
"516","6000-23469","R",2005,"F","MP1"
"517","6000-23470","R",2005,"F","MP1"
"518","6000-23472","R",2005,"F","MP1"
"519","6000-23474","R",2005,"F","MCGC"
"520","6000-23477","R",2005,"F","MP1"
"521","6000-23478","R",2005,"F","MP1"
"522","6000-23479","R",2005,"F","MP1"
"523","6000-23481","R",2005,"F","MP1"
"524","6000-23482","R",2005,"F","MP1"
"525","6000-23484","R",2005,"F","MP1"
"526","6000-23485","R",2005,"F","MP1"
"527","6000-23486","R",2005,"F","MP1"
"528","6000-23487","R",2005,"F","MP1"
"529","6000-23489","R",2005,"F","MP1"
"530","6000-23491","R",2005,"F","MCGC"
"531","6000-23496","R",2005,"F","MCGC"
"532","6000-23500","R",2005,"F","MP1"
"533","6000-23503","R",2005,"F","MP1"
"534","6000-23504","R",2005,"F","MP1"
"535","6000-23506","R",2005,"F","MP1"
"536","6000-23507","R",2005,"F","MP1"
"537","6000-23509","R",2005,"F","MP1"
"538","6000-23510","R",2005,"F","MP1"
"539","6000-23513","R",2005,"F","MP1"
"540","6000-23516","R",2005,"F","MCGC"
"541","6000-23517","R",2005,"F","MCGC"
"542","6000-23518","R",2005,"F","MCGC"
"543","6000-23519","R",2005,"F","MCGC"
"544","6000-23521","R",2005,"F","MCGC"
"545","6000-23522","R",2005,"F","MCGC"
"546","6000-23523","R",2005,"F","MCGC"
"547","6000-23525","R",2005,"F","MP1"
"548","6000-23528","R",2005,"F","MP1"
"549","6000-23529","R",2005,"F","MP1"
"550","6000-23531","R",2005,"F","MP1"
"551","6000-23533","R",2005,"F","MP1"
"552","6000-23535","R",2005,"F","MP1"
"553","6000-23538","R",2005,"F","MCGC"
"554","6000-23539","R",2005,"F","MCGC"
"555","6000-23540","R",2005,"F","MCGC"
"556","6000-23545","R",2005,"M","MCGC"
"557","6000-23546","R",2005,"M","MCGC"
"558","6000-23547","R",2005,"M","MCGC"
"559","6000-23548","R",2005,"M","MP1"
"560","6000-23555","R",2005,"F","MP1"
"561","6000-23557","R",2005,"F","MP1"
"562","6000-23559","R",2005,"F","MP1"
"563","6000-23563","R",2005,"F","MCGC"
"564","6000-23566","R",2005,"F","MCGC"
"565","6000-23568","R",2005,"F","MP1"
"566","6000-23577","R",2005,"F","MP1"
"567","6000-23578","R",2005,"F","MP1"
"568","6000-23583","R",2005,"F","MP1"
"569","6000-23594","R",2005,"F","MP1"
"570","6000-23604","R",2005,"M","GNMTN"
"571","6000-23631","R",2005,"F","KV1"
"572","6000-23633","R",2005,"F","KV1"
"573","6000-23639","R",2005,"F","GNMTN"
"574","6000-23640","R",2005,"F","GNMTN"
"575","6000-23648","R",2005,"F","GNMTN"
"576","6000-23651","R",2005,"F","MCGC"
"577","6000-23652","R",2005,"F","MCGC"
"578","6000-23657","R",2005,"F","MCGC"
"579","6000-23660","R",2005,"F","HOLZ"
"580","6000-23665","R",2005,"F","KV1"
"581","6000-23676","R",2005,"F","GNMTN"
"582","6000-23679","R",2005,"F","MCGC"
"583","6000-23683","R",2005,"F","MP1"
"584","6000-23715","R",2005,"M","MCGC"
"585","6000-23724","R",2005,"F","GNMTN"
"586","6000-23726","R",2005,"F","MCGC"
"587","6000-23727","R",2005,"F","GNMTN"
"588","6000-23731","R",2005,"F","GNMTN"
"589","6000-23736","R",2005,"F","MCGC"
"590","6000-23737","R",2005,"F","MCGC"
"591","6000-23738","R",2005,"F","MCGC"
"592","6000-23739","R",2005,"F","MCGC"
"593","6000-23741","R",2005,"F","MCGC"
"594","6000-23743","R",2005,"F","MCGC"
"595","6000-23745","R",2005,"F","MCGC"
"596","6000-23761","R",2005,"F","MCGC"
"597","6000-23762","R",2005,"F","MCGC"
"598","6000-23764","R",2005,"F","MCGC"
"599","6000-23769","R",2005,"F","MCGC"
"600","6000-23783","R",2005,"M","MCGC"
"601","6000-23791","R",2005,"F","MCGC"
"602","6000-23792","R",2005,"F","MCGC"
"603","6000-23795","R",2005,"F","MCGC"
"604","6000-23799","R",2005,"F","MCGC"
"605","6000-23800","R",2005,"F","MCGC"
"606","6000-23804","R",2005,"F","MCGC"
"607","6000-23805","R",2005,"F","MCGC"
"608","6000-23806","R",2005,"F","MCGC"
