"","band","band_status","year","age","sex","site","site_recap","location"
"2815","4100-08644","1",2007,"AHY","F","MP1","MP1","east"
"2816","4100-08644","R",2008,"AHY","F","MP1","MP1","east"
"2817","4100-08644","R",2009,"AHY","F","MP1","MP1","east"
"2818","4100-08644","R",2010,"AHY","F","MP1","MP1","east"
"2819","4100-08645","1",2010,"AHY","F","HPK2","HPK2","east"
"2820","4100-08646","1",2010,"AHY","F","HPK2","HPK2","east"
"2821","4100-08646","R",2011,"AHY","F","HPK2","HPK2","east"
"2822","4100-08647","1",2010,"AHY","F","HPK2","HPK2","east"
"2823","4100-08648","1",2010,"AHY","F","HPK2","HPK2","east"
"2824","4100-08649","1",2010,"AHY","F","HPK2","HPK2","east"
"2825","4100-08649","R",2011,"AHY","F","HPK2","HPK2","east"
"2826","4100-08650","1",2010,"AHY","F","HPK2","HPK2","east"
"2827","4100-08650","R",2011,"AHY","F","HPK2","HPK2","east"
"2828","4100-08651","1",2010,"AHY","F","MP1","MP1","east"
"2829","4100-08652","1",2011,"AHY","F","MP1","MP1","east"
"2830","4100-08653","1",2010,"AHY","F","MP1","MP1","east"
"2831","4100-08654","1",2010,"AHY","F","MP1","MP1","east"
"2832","4100-08655","1",2010,"AHY","F","MP1","MP1","east"
"2833","4100-08655","R",2011,"AHY","F","MP1","MP1","east"
"2834","4100-08656","1",2010,"AHY","F","MP1","MP1","east"
"2835","4100-08657","1",2010,"AHY","F","MP1","MP1","east"
"2836","4100-08658","1",2010,"AHY","F","MP1","MP1","east"
"2837","4100-08659","1",2010,"AHY","F","MP1","MP1","east"
"2838","4100-08660","1",2010,"AHY","F","MP1","MP1","east"
"2839","4100-08661","1",2010,"AHY","F","MP1","MP1","east"
"2840","4100-08662","1",2010,"AHY","F","MP1","MP1","east"
"2841","4100-08663","1",2010,"AHY","F","MP1","MP1","east"
"2842","4100-08663","R",2010,"AHY","F","MP1","HPK2","east"
"2843","4100-08663","R",2011,"AHY","F","MP1","HPK2","east"
"2844","4100-08664","1",2010,"AHY","M","MP1","MP1","east"
"2845","4100-08665","1",2010,"AHY","F","MP1","MP1","east"
"2846","4100-08666","1",2010,"AHY","F","MP1","MP1","east"
"2847","4100-08667","1",2010,"AHY","F","MP1","MP1","east"
"2848","4100-08667","R",2010,"AHY","F","MP1","HPK2","east"
"2849","4100-08668","1",2010,"AHY","F","MP1","MP1","east"
"2850","4100-08668","R",2011,"AHY","F","MP1","MP1","east"
"2851","4100-08669","1",2010,"AHY","F","MP1","MP1","east"
"2852","4100-08669","R",2011,"AHY","F","MP1","MP1","east"
"2853","4100-08670","1",2010,"AHY","F","MP1","MP1","east"
"2854","4100-08671","1",2010,"AHY","F","MP1","MP1","east"
"2855","4100-08672","1",2010,"AHY","F","MP1","MP1","east"
"2856","4100-08673","1",2010,"AHY","F","MP1","MP1","east"
"2857","4100-08674","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2858","4100-08674","R",2011,"AHY","F","HOLZ","HOLZ","west"
"2859","4100-08675","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2860","4100-08675","R",2011,"AHY","F","HOLZ","GNMTN","west"
"2861","4100-08676","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2862","4100-08677","1",2010,"AHY","F","HOLZ","HOLZ","west"
"2863","4100-08678","1",2010,"AHY","F","KV1","KV1","west"
"2864","4100-08679","1",2010,"AHY","F","KV1","KV1","west"
"2865","4100-08680","1",2010,"AHY","F","KV1","KV1","west"
"2866","4100-08680","R",2011,"AHY","F","KV1","KV1","west"
"2867","4100-08681","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2868","4100-08682","1",2010,"AHY","F","MCGC","MCGC","east"
"2869","4100-08683","1",2010,"AHY","F","MP1","MP1","east"
"2870","4100-08684","1",2010,"AHY","F","MP1","MP1","east"
"2871","4100-08685","1",2005,"AHY","F","MP1","MP1","east"
"2872","4100-08685","R",2007,"AHY","F","MP1","MP1","east"
"2873","4100-08685","R",2010,"AHY","F","MP1","MP1","east"
"2874","4100-08686","1",2010,"AHY","F","MP1","MP1","east"
"2875","4100-08687","1",2010,"AHY","F","MP1","MP1","east"
"2876","4100-08688","1",2010,"AHY","F","MP1","MP1","east"
"2877","4100-08689","1",2010,"AHY","F","MP1","MP1","east"
"2878","4100-08691","1",2010,"AHY","F","MP1","MP1","east"
"2879","4100-08692","1",2010,"AHY","F","MP1","MP1","east"
"2880","4100-08693","1",2010,"AHY","F","MP1","MP1","east"
"2881","4100-08694","1",2010,"AHY","F","MP1","MP1","east"
"2882","4100-08695","1",2010,"AHY","F","MP1","MP1","east"
"2883","4100-08696","1",2010,"AHY","F","MP1","MP1","east"
"2884","4100-08696","R",2011,"AHY","F","MP1","MP1","east"
"2885","4100-08697","1",2010,"AHY","F","MP1","MP1","east"
"2886","4100-08698","1",2010,"AHY","F","HPK2","HPK2","east"
"2887","4100-08699","1",2010,"AHY","F","HPK2","HPK2","east"
"2888","4100-08699","R",2010,"AHY","F","HPK2","MP1","east"
"2889","4100-08700","1",2010,"AHY","F","HPK2","HPK2","east"
"2890","4100-08701","1",2010,"AHY","F","MCGC","MCGC","east"
"2891","4100-08702","1",2010,"AHY","F","MCGC","MCGC","east"
"2892","4100-08703","1",2010,"AHY","F","MCGC","MCGC","east"
"2893","4100-08704","1",2010,"AHY","F","MCGC","MCGC","east"
"2894","4100-08705","1",2010,"AHY","F","MCGC","MCGC","east"
"2895","4100-08706","1",2010,"AHY","F","MCGC","MCGC","east"
"2896","4100-08707","1",2010,"AHY","F","MCGC","MCGC","east"
"2897","4100-08708","1",2010,"AHY","F","MCGC","MCGC","east"
