"","UBI_band","band_status","year","species","age","fixed_sex","site"
"2484","9000-12112","1",2006,"BTLH","AHY","F","MCGC"
"2485","9000-12113","1",2006,"BTLH","AHY","F","MCGC"
"2486","9000-12114","1",2006,"BTLH","AHY","F","MCGC"
"2487","9000-12115","1",2006,"BTLH","AHY","F","MP1"
"2488","9000-12116","1",2006,"BTLH","AHY","F","MCGC"
"2489","9000-12117","1",2006,"BTLH","AHY","F","MCGC"
"2490","9000-12118","1",2006,"BTLH","AHY","F","MCGC"
"2491","9000-12119","1",2006,"BTLH","AHY","F","MCGC"
"2492","9000-12120","1",2006,"BTLH","AHY","F","MP1"
"2493","9000-12121","1",2006,"BTLH","AHY","F","MP1"
"2494","9000-12122","1",2006,"BTLH","AHY","F","MP1"
"2495","9000-12123","1",2006,"BTLH","AHY","F","MP1"
"2496","9000-12124","1",2006,"BTLH","AHY","F","MP1"
"2497","9000-12125","1",2006,"BTLH","AHY","F","MP1"
"2498","9000-12126","1",2006,"BTLH","AHY","F","MP1"
"2499","9000-12127","1",2006,"BTLH","AHY","F","MP1"
"2500","9000-12128","1",2006,"BTLH","AHY","F","MP1"
"2501","9000-12129","1",2006,"BTLH","AHY","F","MP1"
"2502","9000-12130","1",2006,"BTLH","AHY","F","MP1"
"2503","9000-12131","1",2006,"BTLH","AHY","F","MP1"
"2504","9000-12132","1",2006,"BTLH","AHY","F","MP1"
"2505","9000-12133","1",2006,"BTLH","AHY","F","MP1"
"2506","9000-12134","1",2006,"BTLH","AHY","F","MP1"
"2507","9000-12135","1",2006,"BTLH","AHY","F","MP1"
"2508","9000-12136","1",2006,"BTLH","AHY","F","MP1"
"2509","9000-12137","1",2006,"BTLH","AHY","M","MCGC"
"2510","9000-12138","1",2006,"BTLH","AHY","F","MP1"
"2511","9000-12139","1",2006,"BTLH","AHY","F","MP1"
"2512","9000-12140","1",2006,"BTLH","AHY","F","MP1"
"2513","9000-12141","1",2006,"BTLH","AHY","F","MP1"
"2514","9000-12142","1",2006,"BTLH","AHY","F","MP1"
"2515","9000-12143","1",2006,"BTLH","AHY","F","MP1"
"2516","9000-12144","1",2006,"BTLH","AHY","F","CC2"
"2517","9000-12145","1",2006,"BTLH","AHY","F","CC2"
"2518","9000-12146","1",2006,"BTLH","AHY","F","CC3"
"2519","9000-12147","1",2006,"BTLH","AHY","F","CC3"
"2520","9000-12148","1",2006,"BTLH","AHY","F","CC3"
"2521","9000-12149","1",2006,"BTLH","AHY","F","CC3"
"2522","9000-12150","1",2006,"BTLH","AHY","F","MCGC"
"2523","9000-12151","1",2006,"BTLH","AHY","F","MCGC"
"2524","9000-12152","1",2006,"BTLH","AHY","F","MCGC"
"2525","9000-12153","1",2006,"BTLH","AHY","F","MCGC"
"2526","9000-12154","1",2006,"BTLH","AHY","F","MCGC"
"2527","9000-12155","1",2006,"BTLH","AHY","F","MCGC"
"2528","9000-12156","1",2006,"BTLH","HY","F","MCGC"
"2529","9000-12157","1",2006,"BTLH","AHY","F","KV1"
