"","band","band_status","recap_yr","recaptured_sex","recapture_age","site_recap","r1","comments"
"748","3100-41930","R",2012,"F","AHY","MCGC","5/31, 3.6",""
"749","9100-23029","R",2012,"M","AHY","MCGC","5/31, 3.1",""
"750","4100-08113","R",2012,"F","AHY","MCGC","5/31, 3.3",""
"751","9100-23091","R",2012,"M","AHY","MCGC","5/31, ","banded today"
"752","9100-22914","R",2012,"F","AHY","MCGC","5/31,  ","again"
"753","4100-08724","R",2012,"F","AHY","MCGC","5/31, 3.4",""
"754","9100-22837","R",2012,"M","AHY","MCGC","5/31, 3.3","p9 6.3mm<p10"
"755","9100-22891","R",2012,"M","AHY","MCGC","5/31, 3.3",""
"756","4100-59261","R",2012,"M","AHY","MCGC","5/31, 3.6",""
"757","9100-23095","R",2012,"M","AHY","MCGC","5/31,  ","again"
"758","4100-59675","R",2012,"F","AHY","MCGC","5/31, 3.4","again"
"759","4100-59264","R",2012,"M","AHY","MCGC","5/31, 3.24",""
"760","4100-59684","R",2012,"F","AHY","MCGC","5/31, E7, 3.8",""
"761","9000-12410","R",2012,"F","AHY","MCGC","5/31, E6, 3.5",""
"762","9100-23061","R",2012,"M","AHY","MCGC","5/31, 3.02",""
"763","4100-59678","R",2012,"F","AHY","MCGC","5/31, 3.37",""
"764","9100-23016","R",2012,"M","AHY","MCGC","5/31, 3.17",""
"765","4100-59067","R",2012,"M","AHY","MCGC","5/31, 3.29",""
"766","9100-22920","R",2012,"F","AHY","MCGC","5/31, 3.63",""
"767","9100-23066","R",2012,"M","AHY","MCGC","5/31, 3.23",""
"768","9100-59270","R",2012,"M","AHY","MCGC","5/31, 3.24",""
"769","4100-08127","R",2012,"F","AHY","MCGC","5/31, 3.6",""
"770","4100-59684","R",2012,"F","AHY","MCGC","5/31, E6, 3.37",""
"771","4100-08724","R",2012,"F","AHY","MCGC","5/31, 3.3",""
"772","4100-59329","R",2012,"F","AHY","MCGC","5/31, 3.59",""
"773","4100-59205","R",2012,"M","AHY","MCGC","5/31, 3.17",""
"774","4100-59534","R",2012,"F","AHY","MCGC","5/31, 3.43",""
"775","3100-42188","R",2012,"F","AHY","MCGC","5/31, 3.5",""
"776","4100-59447","R",2012,"F","AHY","MCGC","5/31, 3.56",""
"777","9000-90549","R",2012,"F","AHY","MCGC","5/31, 3.5",""
"778","4100-59574","R",2012,"F","AHY","MCGC","5/31, E6, 3.41",""
"779","4100-59679","R",2012,"F","AHY","MCGC","5/31, E8, 3.57",""
"780","9100-22959","R",2012,"F","AHY","MCGC","5/31, E6, 4.79",""
"781","4100-59740","R",2012,"F","AHY","MCGC","5/31, E6, 3.3",""
"782","4100-08723","R",2012,"F","AHY","MCGC","5/31, E7, 3.7",""
"783","4100-08590","R",2012,"F","AHY","MCGC","5/31, E6, 3.38",""
"784","4100-59031","R",2012,"F","AHY","MCGC","5/31, E6, 3.6",""
"785","9000-40135","R",2012,"F","AHY","MCGC","5/31, 3.4",""
"786","3100-42195","R",2012,"F","AHY","MCGC","5/31, E6, 3.37",""
"787","4100-07959","R",2012,"M","AHY","MCGC","5/31, 3.3",""
"788","9100-22984","R",2012,"F","AHY","MCGC","7/1, E6+, 4.1",""
"789","4100-59196","R",2012,"F","AHY","MCGC","7/1, 3.7",""
"790","4100-59950","R",2012,"F","AHY","MCGC","7/1, E6, 3.3",""
"791","9100-22915","R",2012,"F","AHY","MCGC","7/1, 3.8",""
"792","4100-59527","R",2012,"F","AHY","MCGC","7/1, 3.9",""
"793","4100-08113","R",2012,"F","AHY","MCGC","7/1, 3.4",""
"794","4100-59303","R",2012,"F","AHY","MCGC","7/1, E8, 4.1",""
"795","9100-22902","R",2012,"F","AHY","MCGC","7/1, 3.6",""
"796","4100-08367","R",2012,"F","AHY","MCGC","7/1, ",""
"797","9100-23064","R",2012,"M","AHY","MCGC","6/2, 3.3",""
"798","9100-23035","R",2012,"M","AHY","MCGC","6/2, 3.2",""
"799","9100-23006","R",2012,"M","AHY","MCGC","6/2, 3.1",""
"800","9100-22984","R",2012,"F","AHY","MCGC","6/2,  ","again"
"801","4100-08998","R",2012,"F","AHY","MCGC","6/2, 3.5",""
"802","4100-08724","R",2012,"F","AHY","MCGC","6/2, 3.6",""
"803","4100-08952","R",2012,"F","AHY","MCGC","6/2, 3.8",""
"804","4100-59524","R",2012,"F","AHY","MCGC","6/2, 3.3",""
"805","9100-23036","R",2012,"M","AHY","MCGC","6/2, 4.2",""
"806","9100-23091","R",2012,"M","AHY","MCGC","6/2, 3.4",""
"807","4100-59264","R",2012,"M","AHY","MCGC","6/5, 3.3",""
"808","4100-59990","R",2012,"F","AHY","MCGC","6/5, 3.8",""
"809","4100-59252","R",2012,"M","AHY","MCGC","6/5, 3.1",""
"810","9100-23006","R",2012,"M","AHY","MCGC","6/2, 3.1",""
"811","4100-59203","R",2012,"M","AHY","MCGC","6/5, 3.3",""
"812","3100-42713","R",2012,"F","AHY","MCGC","6/5, 3.5",""
"813","4100-59242","R",2012,"M","AHY","MCGC","6/5, 3.6",""
"814","9100-23073","R",2012,"M","AHY","MCGC","6/5, 3.36",""
"815","9000-90654","R",2012,"F","AHY","MCGC","6/5, 3.52",""
"816","9100-23070","R",2012,"M","AHY","MCGC","6/5, 3.42",""
"817","4100-59762","R",2012,"M","AHY","MCGC","6/5, 3.11",""
"818","3100-42325","R",2012,"F","AHY","MCGC","6/5, 3.56",""
"819","9100-23018","R",2012,"M","AHY","MCGC","6/5, 3.35",""
"820","4100-08998","R",2012,"F","AHY","MCGC","6/5, 3.79",""
"821","4100-58634","R",2012,"F","AHY","MCGC","6/5, 3.52",""
"822","4100-59844","R",2012,"F","AHY","MCGC","6/5, E8+, 3.89",""
"823","9100-23228","R",2012,"M","AHY","MCGC","6/5, 3.14",""
"824","4100-59031","R",2012,"F","AHY","MCGC","6/5, 3.4",""
"825","9100-23223","R",2012,"M","AHY","MCGC","6/5, 3.04",""
"826","4100-59270","R",2012,"M","AHY","MCGC","6/5, 3.19",""
"827","4100-23221","R",2012,"M","AHY","MCGC","6/5, 3.25",""
"828","9100-23073","R",2012,"M","AHY","MCGC","6/5, 3.29",""
"829","4100-59853","R",2012,"M","AHY","MCGC","6/5, 3.29",""
"830","9100-23016","R",2012,"M","AHY","MCGC","6/8, 3.2",""
"831","4100-59620","R",2012,"F","AHY","MCGC","6/8, 4.1",""
"832","4100-59534","R",2012,"F","AHY","MCGC","6/8, 3.6",""
"833","9100-23091","R",2012,"M","AHY","MCGC","6/8, 3.4",""
"834","4100-59679","R",2012,"F","AHY","MCGC","6/8, E6, 3.8",""
"835","9100-22908","R",2012,"F","AHY","MCGC","6/8, 3.5",""
"836","4100-59398","R",2012,"F","AHY","MCGC","6/8, 3.8",""
"837","4100-08996","R",2012,"F","AHY","MCGC","6/8, 3.5",""
"838","3100-42219","R",2012,"F","AHY","MCGC","6/8, E6, 3.7",""
"839","4100-59303","R",2012,"F","AHY","MCGC","6/8, E6, 3.9",""
"840","4100-59697","R",2012,"F","AHY","MCGC","6/8, 3.4",""
"841","4100-59532","R",2012,"F","AHY","MCGC","6/8, 3.5",""
"842","4100-59682","R",2012,"F","AHY","MCGC","6/8, E8, 4.3",""
"843","9100-23026","R",2012,"M","AHY","MCGC","6/10, 3.2",""
"844","4100-58608","R",2012,"F","AHY","MCGC","6/10, 3.7",""
"845","3100-42709","R",2012,"M","AHY","MCGC","6/10, 3.1",""
"846","4100-59205","R",2012,"M","AHY","MCGC","6/10, 3.3",""
"847","4100-59207","R",2012,"M","AHY","MCGC","6/10, 3.2",""
"848","4100-08590","R",2012,"F","AHY","MCGC","6/10, 3.4",""
"849","3100-42097","R",2012,"F","AHY","MCGC","6/10, 3.8",""
"850","9100-22902","R",2012,"F","AHY","MCGC","6/10, 3.8",""
"851","4100-59067","R",2012,"M","AHY","MCGC","6/10, 3.3",""
"852","4100-59347","R",2012,"F","AHY","MCGC","6/10, 3.7",""
"853","9100-23097","R",2012,"M","AHY","MCGC","6/10, 3.2",""
"854","4100-59748","R",2012,"F","AHY","MCGC","6/10, 3.4",""
"855","4100-08321","R",2012,"F","AHY","MCGC","6/10, 3.8",""
"856","9100-23007","R",2012,"M","AHY","MCGC","6/10, 3.2",""
"857","4100-08643","R",2012,"F","AHY","MCGC","6/10, 3.76",""
"858","3100-42366","R",2012,"F","AHY","MCGC","6/10, 3.4",""
"859","9100-22964","R",2012,"F","AHY","MCGC","6/10, 3.57",""
"860","9100-22984","R",2012,"F","AHY","MCGC","6/10, 3.5",""
"861","9100-23395","R",2012,"F","AHY","MCGC","6/10, E9+, 3.77",""
"862","9100-23121","R",2012,"F","AHY","MCGC","6/10, 3.39",""
"863","9100-22916","R",2012,"F","AHY","MCGC","6/10, 3.45",""
"864","9100-23234","R",2012,"M","AHY","MCGC","6/10, 3.25",""
"865","3100-42460","R",2012,"F","AHY","MCGC","6/10, E7, 3.47",""
"866","9100-23109","R",2012,"F","AHY","MCGC","6/10, E8, 3.44",""
"867","4100-59169","R",2012,"F","AHY","MCGC","6/10, 3.23",""
"868","4100-08724","R",2012,"F","AHY","MCGC","6/10, 3.4",""
"869","9100-23280","R",2012,"F","AHY","MCGC","6/10, 3.24",""
"870","4100-59620","R",2012,"F","AHY","MCGC","6/10, 3.39",""
"871","4100-59439","R",2012,"F","AHY","MCGC","6/10, E7, 3.85",""
"872","4100-59700","R",2012,"F","AHY","MCGC","6/10, 3.5",""
"873","9100-23070","R",2012,"M","AHY","MCGC","6/10, 3.21",""
"874","4100-59504","R",2012,"F","AHY","MCGC","6/10, 3.54",""
"875","9100-23167","R",2012,"M","AHY","MCGC","6/12, 3.3",""
"876","9100-23016","R",2012,"M","AHY","MCGC","6/12, 3.4",""
