"band","band_status","recap_yr","sex","site_orig","r01","r02","r03","r04","r05","r06","r07","r08","r09","r10","r11","r12","r13","r14","r15","r16","r17","comments"
"4100-59425","R",2012,"F","GNMTN","6/21, 4.65","","","","","","","","","","","","","","","","",""
"3100-41700","R",2012,"F","GNMTN","6/21, ","","","","","","","","","","","","","","","","",""
"9000-90560","R",2012,"M","HOLZ","6/21, 3.19","","","","","","","","","","","","","","","","",""
"9100-23192","R",2012,"M","HOLZ","6/21, 3.17","","","","","","","","","","","","","","","","",""
"4100-08547","R",2012,"F","HOLZ","6/21, 3.5","","","","","","","","","","","","","","","","",""
"3100-42601","R",2012,"F","HOLZ","6/21, 3.64","","","","","","","","","","","","","","","","",""
"9100-23143","R",2012,"F","HOLZ","6/21, 3.81","","","","","","","","","","","","","","","","",""
"4100-59923","R",2012,"F","HOLZ","6/21, 3.6","","","","","","","","","","","","","","","","",""
"9100-23145","R",2012,"F","HOLZ","6/21, 3.56","","","","","","","","","","","","","","","","",""
"9000-39890","R",2012,"F","HOLZ","6/21, 3.65","","","","","","","","","","","","","","","","",""
"9100-23150","R",2012,"M","HOLZ","6/21, 3.3","","","","","","","","","","","","","","","","",""
"9100-23153","R",2012,"M","HOLZ","6/21, 3.46","","","","","","","","","","","","","","","","",""
"9100-23263","R",2012,"F","GNMTN","7/6, ","","","","","","","","","","","","","","","","",""
"9100-23464","R",2012,"F","GNMTN","7/6, ","","","","","","","","","","","","","","","","",""
"9000-90129","R",2012,"F","GNMTN","7/6, E8+, 4.6","","","","","","","","","","","","","","","","",""
"4100-08774","R",2012,"F","GNMTN","7/6, 3.9","","","","","","","","","","","","","","","","",""
"4100-59835","R",2012,"F","GNMTN","7/6, 3.6","","","","","","","","","","","","","","","","",""
"4100-08915","R",2012,"F","GNMTN","7/6, 3.8","","","","","","","","","","","","","","","","",""
"9100-23157","R",2012,"M","GNMTN","7/6, 3.2","","","","","","","","","","","","","","","","",""
"9100-22958","R",2012,"F","GNMTN","7/6, 3.4","","","","","","","","","","","","","","","","",""
"9100-23142","R",2012,"F","HOLZ","7/6, 3.5","","","","","","","","","","","","","","","","",""
"9100-23480","R",2012,"F","HOLZ","7/6, 3.4","","","","","","","","","","","","","","","","",""
"4100-59952","R",2012,"F","HOLZ","7/6, E9, 4.1","","","","","","","","","","","","","","","","",""
"9100-23481","R",2012,"F","HOLZ","7/6, 3.7","","","","","","","","","","","","","","","","",""
"9100-23147","R",2012,"F","HOLZ","7/6, 3.4","","","","","","","","","","","","","","","","",""
"9100-23145","R",2012,"F","HOLZ","7/6, 3.4","","","","","","","","","","","","","","","","",""
"9100-23508","R",2012,"M","HOLZ","7/6, 3.3","","","","","","","","","","","","","","","","",""
"4100-08547","R",2012,"F","HOLZ","7/6, 3.5","","","","","","","","","","","","","","","","",""
"9100-23490","R",2012,"F","HOLZ","7/6, 3.7","","","","","","","","","","","","","","","","",""
"9100-23556","R",2012,"F","HOLZ","7/6, E7+, 3.8","","","","","","","","","","","","","","","","",""
"9100-23147","R",2012,"F","HOLZ","7/6, 3.6","","","","","","","","","","","","","","","","",""
"9100-23376","R",2012,"F","HOLZ","7/6, 3.6","","","","","","","","","","","","","","","","",""
"9100-23138","R",2012,"F","HOLZ","7/6, 3.5","","","","","","","","","","","","","","","","",""
"9100-23301","R",2012,"M","HOLZ","7/6, 3.2","","","","","","","","","","","","","","","","",""
"4100-59190","R",2012,"M","MP1","7/8, 3.13","","","","","","","","","","","","","","","","",""
"4100-07822","R",2012,"F","MP1","7/8, fat, 4.57","","","","","","","","","","","","","","","","","fat"
"9100-22941","R",2012,"F","MP1","7/8, 3.46","","","","","","","","","","","","","","","","",""
"9100-22997","R",2012,"F","MP1","7/8, 3.83","","","","","","","","","","","","","","","","",""
"4100-58833","R",2012,"F","MP1","7/8, 3.9","","","","","","","","","","","","","","","","",""
"4100-59151","R",2012,"F","MP1","7/8, 3.59","","","","","","","","","","","","","","","","",""
