"band","band_status","recap_yr","sex","site_orig","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","comments"
"5000-29217","R",2004,"F","MCGC","7/26 4.4g HTW","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29218","R",2004,"F","MCGC","6/13 4.2g E7","6/17 4.1g E8/9","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29248","R",2004,"M","MCGC","6/10 3.0g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29263","R",2004,"F","MCGC","6/15 3.2g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29266","R",2004,"F","MCGC","6/14 3.7g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29306","R",2004,"F","MCGC","6/10 4.2g","6/13 3.6g","6/15 3.6g","6/18 3.5g","7/11 3.7g","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29320","R",2004,"F","MCGC","6/18 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29348","R",2004,"F","MP1","8/14 3.6g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29355","R",2004,"F","MP1","8/24 4.0g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29360","R",2004,"F","MP1","8/21 3.5g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29369","R",2004,"F","MCGC","6/10 3.3g","6/11 3.3g","6/15 3.4g","6/18 3.8g","7/24 3.4g","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29401","R",2004,"M","MCGC","6/13 3.5g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29407","R",2004,"F","MP1","8/7  3.8g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47651","R",2004,"M","MCGC","7/16 3.6g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47657","R",2004,"F","MCGC","6/16 3.7g E7","6/16 4.6g","7/24 3.5g","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47678","R",2004,"F","MP1","8/24 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47692","R",2004,"F","MP1","8/24 3.5g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47768","R",2004,"M","MCGC","6/13, 3.1g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"4000-47769","R",2004,"M","MCGC","6/1, 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
