"UBI_band","band_status","year","date","age","fixed_sex","site","comments"
"4100-59502","1",2011,2011-07-09,"AHY","F","KV1",""
"4100-59503","1",2011,2011-07-10,"AHY","F","MCGC",""
"4100-59504","1",2011,2011-07-10,"AHY","F","MCGC",""
"4100-59505","1",2011,2011-07-10,"AHY","F","MCGC","E7"
"4100-59506","1",2011,2011-07-12,"AHY","F","MCGC",""
"4100-59507","1",2011,2011-07-12,"AHY","F","MCGC",""
"4100-59508","1",2011,2011-07-12,"AHY","F","CC3",""
"4100-59509","1",2011,2011-07-13,"AHY","F","HPK2",""
"4100-59510","1",2011,2011-07-13,"AHY","F","HPK2",""
"4100-59511","1",2011,2011-07-13,"AHY","F","HPK2",""
"4100-59512","1",2011,2011-07-13,"AHY","F","HPK2",""
"4100-59513","1",2011,2011-07-13,"AHY","F","HPK2",""
"4100-59514","1",2011,2011-07-13,"AHY","F","HPK2",""
"4100-59515","1",2011,2011-07-14,"AHY","F","MP1",""
"4100-59516","1",2011,2011-07-14,"AHY","F","MP1",""
"4100-59517","1",2011,2011-07-14,"AHY","F","MP1",""
"4100-59518","1",2011,2011-07-14,"AHY","F","MP1",""
"4100-59519","1",2011,2011-07-14,"AHY","F","MP1",""
"4100-59520","1",2011,2011-07-14,"AHY","F","MP1",""
"4100-59521","1",2011,2011-07-14,"AHY","F","MP1",""
"4100-59522","1",2011,2011-07-14,"AHY","F","MP1",""
"4100-59523","1",2011,2011-07-14,"AHY","F","MP1",""
"4100-59524","1",2011,2011-07-15,"AHY","F","MCGC",""
"4100-59525","1",2011,2011-07-15,"AHY","F","MCGC",""
"4100-59526","1",2011,2011-07-15,"AHY","F","MCGC",""
"4100-59527","1",2011,2011-07-15,"AHY","F","MCGC",""
"4100-59528","1",2011,2011-07-15,"AHY","F","MCGC",""
"4100-59529","1",2011,2011-07-15,"AHY","F","MCGC",""
"4100-59530","1",2011,2011-07-15,"AHY","F","MCGC",""
"4100-59531","1",2011,2011-07-15,"AHY","F","MCGC","FS5"
"4100-59532","1",2011,2011-07-15,"AHY","F","MCGC",""
"4100-59533","1",2011,2011-07-15,"AHY","F","MCGC","FS4"
"4100-59534","1",2011,2011-07-15,"AHY","F","MCGC",""
"4100-59535","1",2011,2011-07-16,"AHY","F","MCGC","FS4"
"4100-59536","1",2011,2011-07-16,"AHY","F","MCGC",""
"4100-59537","1",2011,2011-07-16,"AHY","F","MCGC",""
"4100-59538","1",2011,2011-07-17,"AHY","F","GNMTN",""
"4100-59539","1",2011,2011-07-17,"AHY","F","GNMTN",""
"4100-59540","1",2011,2011-07-17,"AHY","F","GNMTN",""
"4100-59541","1",2011,2011-07-17,"AHY","F","GNMTN","FS4"
"4100-59542","1",2011,2011-07-17,"AHY","F","GNMTN",""
"4100-59543","1",2011,2011-07-17,"AHY","F","KV1",""
"4100-59544","1",2011,2011-07-17,"AHY","F","KV1",""
"4100-59545","1",2011,2011-07-17,"AHY","F","KV1",""
"4100-59546","1",2011,2011-07-17,"AHY","F","KV1",""
"4100-59547","1",2011,2011-07-17,"AHY","F","KV1",""
"4100-59548","1",2011,2011-07-17,"AHY","F","KV1","E6+"
"4100-59549","1",2011,2011-07-19,"AHY","F","HPK2",""
"4100-59550","1",2011,2011-07-19,"AHY","F","HPK2",""
"4100-59551","1",2011,2011-07-19,"AHY","F","HPK2",""
"4100-59552","1",2011,2011-07-19,"AHY","F","HPK2","FS3"
"4100-59553","1",2011,2011-07-19,"AHY","F","HPK2",""
"4100-59554","1",2011,2011-07-19,"AHY","F","HPK2",""
"4100-59555","1",2011,2011-07-19,"AHY","F","HPK2",""
"4100-59556","1",2011,2011-07-19,"AHY","F","HPK2",""
"4100-59557","1",2011,2011-07-19,"AHY","F","HPK2",""
"4100-59558","1",2011,2011-07-20,"AHY","F","MCGC",""
"4100-59559","1",2011,2011-07-20,"AHY","F","MCGC",""
"4100-59560","1",2011,2011-07-20,"AHY","F","MCGC",""
"4100-59561","1",2011,2011-07-20,"AHY","F","MCGC",""
"4100-59562","1",2011,2011-07-20,"AHY","F","MCGC",""
"4100-59563","1",2011,2011-07-20,"AHY","F","MCGC","FS5"
"4100-59564","R",2011,2011-07-20,"AHY","F","MCGC","former H42514"
"4100-59565","1",2011,2011-07-20,"AHY","F","MCGC",""
"4100-59566","1",2011,2011-07-21,"AHY","F","MCGC",""
"4100-59567","1",2011,2011-07-21,"AHY","F","MCGC",""
"4100-59568","1",2011,2011-07-21,"AHY","F","MCGC",""
"4100-59569","1",2011,2011-07-21,"AHY","F","MCGC",""
"4100-59570","1",2011,2011-07-21,"AHY","F","MCGC",""
"4100-59571","1",2011,2011-07-21,"AHY","F","MCGC",""
"4100-59572","1",2011,2011-07-21,"AHY","F","MCGC",""
"4100-59573","1",2011,2011-07-22,"AHY","F","MCGC",""
"4100-59574","1",2011,2011-07-22,"AHY","F","MCGC",""
"4100-59575","1",2011,2011-07-22,"AHY","F","MCGC",""
"4100-59576","1",2011,2011-07-22,"AHY","F","MCGC",""
"4100-59577","1",2011,2011-07-22,"AHY","F","MCGC",""
"4100-59578","1",2011,2011-07-22,"AHY","F","MP1",""
"4100-59579","1",2011,2011-07-22,"AHY","F","MP1",""
"4100-59580","1",2011,2011-07-22,"AHY","F","MP1",""
"4100-59581","1",2011,2011-07-22,"AHY","F","MP1","FS5"
"4100-59582","1",2011,2011-07-22,"AHY","F","MP1",""
"4100-59583","1",2011,2011-07-22,"AHY","F","MP1",""
